Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
a mixture of iron filings and sulphur powder can be separated by using,a solution of carbon disulphide,What is used to separate iron filings and sulphur powder?,1,What can be used to separate iron filings and sulphur powder?,,How can iron filings and sulphur powder be separated?,1
ten kilometres is equal to,10 00 000 centimetres,How many centimeters is ten kilometers?,1,How many centimeters is equal to?,0,How many centimeters is the equivalent of?,0
natural fibres are obtained from    i. Wool   ii. Silk   iii. Polyester    iv. Linen   Select the correct answer using the code given below,"i, ii and iv only",Which three codes are used to determine natural fibres?,0,Which three codes are used to identify natural fibres?,0,Which three codes are used to identify natural fibers?,0
the Khilafat Issue was related to the Islam community of,ottoman Turkey,The Khilafat issue was related to the Islam community of what country?,1,What country was the Khilafat issue related to?,1,The Khilafat issue was related to the Islam community of which country?,
rani Laxmibai wanted the company to recognise her,adopted son,What was the name of Laxmibai's son?,0,What was Laxmibai's first name?,0,What was rani Laxmibai's first name?,0
during inhalation,diaphragm moves down and rib cage moves outward,What happens to the rib cage during inhalation?,1,How does the rib cage move during inhalation?,1,What happens to the rib cage when inhaling?,
"in the Rig Vedic time, the God Agni was the God of",fire,Agni was the God of what?,1,Agni was the God of what substance?,,What was Agni the God of?,
the Civil Rights Movement took place,u.S.A,Where did the Civil Rights Movement take place?,1,Where did the civil rights movement take place?,,Where was the Civil Rights Movement held?,
earth’s distance from the Sun,varies throughout the year,How often does earth's distance from the sun change?,0,How often does earth's distance from the Sun change?,,How often does earth's distance from the Sun vary?,
the primary function of photosynthesis is to convert,light energy into chemical energy,What is the primary function of photosynthesis?,1,What does photosynthesis convert light energy into?,1,What is the primary purpose of photosynthesis?,
rusting of iron takes place in the presence of moisture and,oxygen,"In addition to moisture, what else causes the rusting of iron?",1,"In addition to moisture, what else causes rusting of iron?",,"In addition to moisture, what else causes iron to rust?",
the Bakarwals belonged to,kashmir,What city did the Bakarwals belong to?,0,What region did the Bakarwals belong to?,1,The Bakarwals were from what region?,1
the cells of the cork of the older plants have deposits of,suberin,The cells of cork of older plants have deposits of what?,1,The cells of cork have deposits of what?,,The cells of cork of older plants have deposits of what substance?,
global climate witnessed change around,"12,000 years ago",How long ago did climate change occur?,1,How many years ago did climate change occur?,,How many years ago did global climate change occur?,
rate of diffusion will be negligble when,sodium chloride and ammonium chloride are mixed,When is the rate of diffusion negligble?,0,When is the rate of diffusion negligible?,0,What is the rate of diffusion when?,0
pressure flaking is one of the technique of,tool making,Pressure flaking is one of the techniques of what?,1,Pressure flaking is a technique of what?,0,What is another name for tool making?,0
a coconut tree is useful because it,provides oil,What does a coconut tree do?,0,What is the main benefit of a coconut tree?,1,What does a coconut tree do to the body?,0
diabetes is caused due to decreased secretion of,insulin,What is caused by decreased secretion of insulin?,1,What is caused by decreased secretion of glucose?,0,Reduced secretion of what hormone causes diabetes?,1
the filament of an electric bulb glows on passage of current,due to the heating effect of an electric current,Why does the filament of an electric bulb glow?,1,Why does an electric bulb glow?,1,Why does the bulb glow?,0
"to relieve indigestion, we take an antacid such as milk of magnesia, which contains",magnesium hydroxide,What does milk of magnesia contain?,0,What is the active ingredient in milk of magnesia?,0,What is the name of the antacid milk of magnesia?,0
the UN Security Council has,fifteen members,How many members are on the UN Security Council?,1,How many members make up the UN Security Council?,,How many members are in the UN Security Council?,
the Mauryan Empire was founded more than,"2,300 years ago",How long ago was the Mauryan Empire founded?,1,When was the Mauryan Empire founded?,1,How old was the Mauryan Empire?,1
the different types of weather patterns that we normally observe are      i. Sunny      ii. Tropical      iii. Cloudy      iv. Rainy,"i, iii and iv only",What are the three types of weather patterns?,1,What are the three types of weather patterns that we observe?,,What are the types of weather patterns that we observe?,
cities developed on the bank of the Ganga around,2500 year ago,How long ago did cities develop on the bank of the Ganga?,1,How long ago did cities develop on the banks of the Ganga?,,How long ago did cities develop on the Ganga River?,1
strongest forces of attraction exists between the particles of,copper,What metal has the strongest attraction?,0,What metal has the strongest attraction between it?,0,What is the strongest attraction between copper particles?,0
in acidic solution china rose indicator turns to,magenta,What color does the china rose indicator turn to?,0,What color does the indicator turn to?,0,In acidic solution what color does the indicator turn to?,0
the use of the Lahore Gate Improvement Scheme for the residents of old Walled City of Delhi was to,draw them out to new areas,What was the purpose of the Lahore Gate Improvement Scheme?,1,What was the goal of the Lahore Gate Improvement Scheme?,,What did the Lahore Gate Improvement Scheme do for the residents?,1
mark the term used for fair and just trial,impartial judgment,What term is used for a fair trial?,0,What term is used for a just trial?,0,What term is used for fair and just trial?,0
saline water supports,mangrove forests,What type of forest supports saline water?,0,What type of trees support saline water?,0,What type of forest supports mangroves?,0
pulmonary vein carries,oxygen rich blood,What kind of blood does the pulmonary vein carry?,1,What type of blood does the pulmonary vein carry?,,What does the pulmonary vein carry?,1
scientific concept of work suggest that work is said to be done if,application of force on a body that displaces it,What is a scientific concept of work?,1,What is done when a body is displaceable?,0,What is done when a body is displaced?,0
the endomembrane system of the cell includes,endoplasmic reticulum,What part of the cell includes the endoplasmic reticulum?,1,What part of the cell contains the endoplasmic reticulum?,,The endoplasmic reticulum is also known as what?,0
occurrence of lightning is an example of,fast change,What is an example of a fast change?,1,What is an example of a lightning event?,0,What is an example of lightning?,0
"if two ends of a wire are dipped in orange juice, then a compass needle brought near the circuit",shows deflection,What happens when a compass needle is dipped in orange juice?,0,What happens when a compass needle is brought near the circuit?,0,What happens when a compass needle is dipped in juice?,0
atoms of different elements have,different masses and different chemical properties,What do atoms of different elements have?,0,What is the difference between atoms of different elements?,0,What do atoms of different elements have in common?,0
an appropriate distance between the seeds is essential to avoid,overcrowding,What type of overcrowding can be avoided?,0,What is a common problem with seeds?,0,What type of overcrowding does a seed have?,0
isotopes of an element have,same atomic number but different mass number,What is the difference between isotopes of an element?,1,What is the difference in mass of isotopes of an element?,0,What is the difference in mass between isotopes of an element?,0
the Article 21 of the Constitution includes the right to enjoyment of pollution free,water and air,What are the two main sources of pollution free water and air?,0,What are the two types of pollution free water and air?,0,What are the two main sources of pollution in the Constitution?,0
people participate in the government decisions by,analysing the government policies,Howpeople participate in the government?,1,,0,,0
loud and soft sound can have the same,frequency,What is the difference between loud and soft sound?,0,What is a difference between loud and soft sound?,0,What is the difference between loud and soft sounds?,0
the judges of the Supreme Court retire at the age of,65,At what age do judges of the Supreme Court retire?,1,At what age do the judges of the Supreme Court retire?,,At what age do judges retire from the Supreme Court?,1
yellow yolk of egg represents,single cell,What is the yolk of an egg?,0,What is a single cell in an egg?,0,What is a cell in an egg?,0
the Supreme Court of India was established on,"26th January,1950",When was the Supreme Court of India established?,1,On what date was the Supreme Court of India established?,1,What date was the Supreme Court of India established?,
temperature of –200°C is equal to,73 K,What is the temperature of 73 K?,0,What is the temperature of -200°C?,0,What temperature is equal to 73 K?,0
ron is standing in the middle of a field with a compass. The red portion of the compass needle is pointing away from him. He wants to go towards east then he should,turn right and walk straight,What should ron do if he wants to go towards east?,0,What should ron do if he wants to go towards the east?,0,What should ron do if he wants to go east?,0
increase in the sea level happens due to increased,carbon dioxide in the atmosphere,What is the cause of the increase in sea level?,1,What causes the increase in sea level?,,What is responsible for the increase in sea level?,
different tissues join to form a,organ,Different tissues join to form what?,1,What do tissues join to form?,1,Different tissues join to form a what?,
cO₂ can be produced by –,sodium bicarbonate (baking soda) and Potassium bicarbonate,What is another name for baking soda?,0,What are the two main sources of cO2?,0,What are the two main forms of cO2?,0
maximum temperature of the day normally occurs,in the afternoon,When is the highest temperature of the day?,1,When does the highest temperature of the day occur?,1,When does the highest temperature of the day usually occur?,
the part of sugarcane plant from which sugar is obtained is its,stem,What part of a sugarcane plant is the source of its sugar?,1,What is the stem of a sugarcane plant?,0,What part of a sugarcane plant is the source of sugar?,
"a bread shows fluffy patches of white, green or brown colour caused due to the growth of",fungi,"What is the cause of bread's white, green or brown patches?",1,"What is the cause of bread's white, green, or brown patches?",,"What is the cause of a bread's white, green or brown patches?",
in all primary cells chemical energy is changed into …………… energy,electrical,What type of energy is changed in all primary cells?,0,What type of energy is used in primary cells?,0,"In primary cells, what type of energy is changed into electrical?",1
excessive industrialisation is a threat to,environment,What is excessive industrialisation a threat to?,1,Industrialisation is a threat to what?,1,What does excessive industrialisation threaten?,
thermal power plants use,coal,What type of coal does a thermal power plant use?,0,What type of coal is used in thermal power plants?,0,What type of coal do thermal power plants use?,0
the stage in life cycle of an insect excludes,sericulture,What stage in the life cycle of an insect excludes?,0,What stage of life cycle of an insect excludes?,0,What stage in life cycle of an insect excludes?,0
golgi apparatus is involved in the formation of,lysosome,What part of the body is formed by the golgi apparatus?,1,What is the golgi apparatus involved in the formation of?,1,What is the name of the lysosome?,0
fertilisers ensure increased vegetative growth and healthy plants by supplying,"nitrogen, phosphorus and potassium",What nutrients do fertilizers provide to plants?,1,What nutrients do fertilisers contain?,1,What nutrients do fertilisers provide?,
the amplitude of sound changes suddenly in case of a,noise,The amplitude of what changes suddenly?,0,The amplitude of what changes suddenly in case of a sudden change in what?,0,The amplitude of what changes suddenly in case of a sudden change in?,0
bats differ from birds in presence of,diaphragm,What part of the body does a bat have?,0,What part of the body does bats have?,0,What part of the throat does bats have?,0
golgi apparatus is involved in the formation of,lysosome,What part of the body is formed by the golgi apparatus?,1,What is the golgi apparatus involved in the formation of?,1,What is the name of the lysosome?,0
a pin hole camera is based on the phenomenon of,rectilinear propagation of light,What is a pin hole camera based on?,1,What phenomenon is a pin hole camera based on?,1,What is the phenomenon of a pin hole camera?,
‘The Origin of Species’ is associated with,darwin,What animal is associated with the origin of Species?,0,What species is associated with 'The Origin of Species?,0,What animal is associated with 'The Origin of Species?,0
all materials,occupy space and have mass,What do materials do?,0,What do all materials do?,0,Do materials have mass or space?,0
the constitution of India recognises the right to water as being a part of,right to life,What is a part of the right to water in India?,0,The constitution of India recognizes what right?,0,What is a part of the right to water?,0
removal of weeds is necessary for plant growth because weeds,compete with crop for nutrition,What do weeds do to a crop?,1,What do weeds do to a plant?,,What do weeds do for nutrients?,0
maharaja Ranjit Singh united,the Sikhs living west of Satluj,Who lived west of Satluj?,0,Who were the Sikhs?,0,Who did Ranjit Singh unite?,0
faience was used to make,beads,What was used to make beads?,1,What were used to make beads?,,What was used to make the beads?,
switch can be connected,any where in between the circuit elements within the circuit,Where can a switch be connected?,0,Where can the switch be connected?,0,Where is a switch connected?,0
during  Rutherford ’s experiment most of the alpha particles passed through the gold foil undeviated. This clearly proves that,most of the space inside the atom is empty and the nucleus is very small in    size,What is the size of the nucleus of an atom?,0,What was the result of Rutherford's experiment?,1,What does Rutherford's experiment show about the nucleus?,1
friction is unable to,produce lubrication,What is friction unable to do?,0,What is friction not able to do?,0,What does friction not do?,0
coconut oil,all of the above,What does coconut oil do?,0,Is coconut oil a type of oil?,0,What does coconut oil contain?,0
motion of pendulum of clock is an example of,periodic change,What is a periodic change in the clock?,1,What is a periodic change in time?,0,What is a periodic change of the clock?,
the wool of sheep is removed only once a year before the beginning of,summer season,During what season is wool removed from sheep?,1,During what season is sheep wool removed?,,During what season is the wool of sheep removed?,
"on soaking moong seeds in water for 4 to 5 days, they develop",sprouts,What do moong seeds produce after 4 to 5 days?,1,What do moong seeds turn into?,0,What do moong seeds produce?,0
"during heavy exercises like swimming, running, cycling etc.,  the rate of breathing",increases,Does breathing rate increase or decrease during heavy exercise?,0,Does the rate of breathing increase or decrease during exercise?,0,Does breathing rate increase or decrease during exercise?,0
"in India, people have direct involvement in electing their representatives because of",universal Adult Franchise,What is the name of the franchise in India?,0,What type of franchise does India have?,0,What is the name of the franchise that allows people to elect their representatives?,1
colour blindness is the name given to the inability to,distinguish between colours,What does color blindness mean?,1,What does color blindness stand for?,,What is blindness?,
"according to the findings, the large letters of the Harappan script were carved out of",white stone,What type of stone were the large letters carved out of?,0,What was the Harappan script carved out of?,1,What kind of stone were the large letters carved out of?,0
plants having leaves with reticulate venation have,tap root,What do plants with leaves with reticulate venation have?,1,What do plants with reticulate venation have?,,What is a tap root?,0
energy required to operate a pump is  obtained from other than,coal,What is the main source of energy for a pump?,,What is the primary source of energy for a pump?,,What material is used to power a pump?,
petroleum and natural gas have been discovered near the basins of,godavari and Krishna,Godavari and Krishna are two of the two basins where petroleum and natural gas have been discovered?,0,Godavari and Krishna are two of the basins of what two rivers?,0,Godavari and Krishna are two of the two basins where petroleum and natural gas have been found?,0
dalton proposed,the term atom,What term did dalton propose?,1,What did dalton propose?,,What term did dalton propose for an atom?,0
the term Fundamental Rights is mentioned in Part III of the Constitution of,india,In what country is the term Fundamental Rights mentioned?,0,In what country are Fundamental Rights mentioned?,0,In what country is Fundamental Rights mentioned?,0
petroleum is formed from dead remains of,sea organisms,What is petroleum formed from?,1,What is petroleum made from?,,What is the source of petroleum?,1
"chir, Pine and Deodar comes under",mountain vegetation,"What type of vegetation is chir, Pine and Deodar?",1,"What kind of vegetation is chir, Pine and Deodar?",,"What type of vegetation is chir, Pine, and Deodar?",
yajnas were performed so as to,please Gods and Goddesses,Who did the yajnas serve?,0,Who did yajnas serve?,0,Who did yajnas please?,1
"according to Rokeya Sakhawat, 'lady land' is a place where","women had the freedom to study, work and create inventions","Did women have the freedom to study, work and create inventions?",0,"Did women have the freedom to study, work and create inventions in 'lady land'?",0,What did Rokeya Sakhawat say women had the freedom to do?,1
urban street vendors offer,affordable services to city dwellers,What do street vendors offer?,0,What kind of services do street vendors offer?,0,What kind of services do street vendors provide?,0
these days the head of the safety matchstick contains,both a and b,Which two numbers are on the head of a safety matchstick?,0,Which two numbers are on the head of the safety matchstick?,0,Which two numbers are on the safety matchstick?,0
the British thought that granting of trade privileges and concessions could be easier with the help of a,puppet,What did the British think could make granting trade privileges and concessions easier?,1,What did the British think could make granting trade privileges easier?,,What did the British think could be used to make granting trade privileges easier?,
an option that is being used by the government to prevent unfair practices to achieve social justice,"formulate, enforce and uphold laws",What does the government do to prevent unfair practices?,1,What is the government doing to prevent unfair practices?,,What does the government do?,0
a plant in which leaf is modified into tendril,pea plant,What is a pea plant?,0,What is a pea plant called?,0,What is the name of a pea plant?,0
the forest fire happens during,extreme heat of summer,In what season does a forest fire occur?,1,During what season does the forest fire occur?,1,In what season does a forest fire happen?,
we eat onion in the form of its,bulb,What is another name for onion?,0,What is the other name for onion?,0,What is another term for onion?,0
the thin wire that glows when current passes through a bulb is made up of,tungsten,What metal makes up the wire that glows when current passes through a bulb?,1,What kind of metal is the wire that glows when current passes through a bulb?,,What kind of metal is tungsten?,0
the period referred as 'Delhi Renaissance' was between,1830 - 1857,When was the 'Delhi Renaissance'?,1,What years was the 'Delhi Renaissance'?,1,During what years was the 'Delhi Renaissance'?,
grooves in tyres,increase friction between the tyre and the road,What do grooves in tyres do?,1,What does grooves in tyres do?,,What do grooves do to a tyre?,
polyester is made of repeating units of a chemical called,ester,What chemical makes up polyester?,1,What chemical is ester?,0,What is the chemical that makes polyester?,
the climate is the average weather pattern taken over,"a long time, say 25 years",How long is the average weather pattern taken over?,0,How long does the average weather pattern last?,0,How long is the average weather pattern taken?,0
in winnowing,lighter husk particles are carried away by the wind,How are lighter husk particles carried away by the wind?,0,What happens when lighter husk particles are carried away?,0,How are lighter husk particles carried away by wind?,0
the state government make laws regarding,sanitation and health facilities,What types of facilities do the state government regulate?,1,What kind of facilities do the state government regulate?,,What types of facilities do the state government provide?,
"in Permanent Land Revenue Settlement, land revenue was fixed",permanently,How long was the land revenue fixed?,0,How long was land revenue fixed?,0,How long was land revenue fixed in a Land Revenue Settlement?,1
the range of laboratory thermometer is generally between,10°C to 110°C,What is the range of a laboratory thermometer?,1,What is the range of temperature of a laboratory thermometer?,,What is the range of the laboratory thermometer?,
"if a person goes from the Western Hemisphere to the Eastern Hemisphere, he/she needs to",increase time in his watch,What should a person do if he/she goes from the Western to the Eastern Hemisphere?,0,What does a person need to do if he/she goes from the Western Hemisphere to the Eastern?,0,What does a person need to do if he/she goes from the Western Hemisphere to the eastern?,0
choose a process that can be reversed,inflation of a balloon,What is an example of a process that can be reversed?,1,What is a process that can be reversed?,,What is the name of the process that can be reversed?,
advertisements describe the products by,focusing on the quality of the product,Howadvertisements describe the?,0,,0,,0
the balance of oxygen and carbon dioxide in atmosphere is maintained through,photosynthesis in plants and respiration in plants and animals,What processes maintain the balance of oxygen and carbon dioxide in the atmosphere?,1,What processes maintain oxygen and carbon dioxide balance in the atmosphere?,,What is the process of maintaining oxygen and carbon dioxide in the atmosphere?,
a highly polished iron nail is placed in a saturated solution of copper sulphate. The nail is taken out after 5 minutes. The nail is found to be covered with,reddish deposit,What color deposit is found on the nail?,0,What kind of deposit is found on the nail?,0,What color is found on the nail?,0
menstrual flow occurs due to shedding of,uterine lining,What part of the body is shed during menstruation?,1,What part of the body is shedding during menstruation?,,What part of the uterus is shed during menstruation?,1
no rain or very less rain,causes drought,What happens when there is no rain?,1,What happens when there is not enough rain?,,What happens when there is no rain or less rain?,
the formula made by Panini were around,"3,000",How many formulas were used by Panini?,0,How many formulas did Panini use?,0,How many formulas were made by Panini?,1
"bite of female anopheles mosquito is harmful for human-beings, because it",acts as a carrier of malaria causing parasite,What does the female anopheles mosquito do?,0,What does an anopheles mosquito do?,0,What does an anopheles mosquito do to humans?,0
a liquid is different from a solid which has,no definite shape,Does a liquid have definite shape?,0,What is a solid with?,0,Is a liquid definite shape?,0
in transverse waves,particles oscillate in a direction perpendicular to the direction of wave propagation,How do particles oscillate in transverse waves?,0,How do particles oscillate in wave propagation?,0,How do particles oscillate in waves?,0
archimedes principle states that,"When a body is immersed fully or partially in a fluid, it experiences an upward force that is equal to the weight of the fluid displaced by it",What does the archimedes principle state?,1,"What principle states that when a body is fully or partially immersed in fluid, it experiences an upward force?",1,What is the archimedes principle?,
anthers produce,pollen grains,What do anthers produce?,1,What type of grains do anthers produce?,1,What kind of grains do anthers produce?,
electricity is a form of,energy,What is a form of what?,0,What is a form of?,0,What is a form of energy?,0
things in a weekly market are cheaper because of,competition,Why are things in a weekly market cheaper?,1,Why are things cheaper in a weekly market?,,Why are things in the weekly market cheaper?,
"the languages spoken in the north eastern region of India, belongs to",tibeto- Burman family,What is the tibeto-burman family of languages?,0,What family of languages are spoken in the north eastern region of India?,1,What language family is spoken in the north eastern region of India?,
a baby is exposed to sunlight to help his body gain,vitamin D,What vitamin does the sun give a baby?,1,What vitamin does sunlight provide a baby?,0,What vitamin does sunlight provide a baby with?,0
a human ankle shows,2 degree of freedom,How much freedom does a human ankle have?,0,How much freedom does a human ankle show?,0,How much freedom does an ankle have?,0
"blood, bone, ligament, cartilage and areolar are types of",connective tissue,"Blood, bone, ligament, cartilage, and areolar are examples of what?",1,"Blood, bone, ligament, cartilage and areolar are examples of what?",0,"Blood, bone, ligament, cartilage, and areolar are types of what?",0
the Right to Life and Personal Liberty is mentioned in the Article,21,How many articles mention the Right to Life and Personal Liberty?,0,How many times is the Right to Life and Personal Liberty mentioned in the Article?,0,How many times is the Right to Life and Personal Liberty mentioned in Article 21?,0
"due to directive property of magnets, a freely suspended bar magnet",comes to rest in North-South direction,What direction does a bar magnet rest?,1,What direction does the bar magnet come to rest?,1,What direction does a bar magnet rest in?,
stupas were the master pieces of,mauryan Art,What type of art was stupas?,1,What type of stupas were the master pieces of?,0,What type of art is stupas?,0
we get a complete dark shadow,when the light from the torch is made to fall on a book,What happens when the light from a torch is made to fall on the book?,1,When is the light from a torch made to fall on the book?,0,What happens when the light from a torch falls on the book?,
soap solution is an example of,sol,What is an example of soap solution?,0,What is a soap solution?,0,What is an example of soap?,0
atoms of silver and aluminium have,different chemical properties,What kind of properties do silver and aluminium have?,0,What is the difference between silver and aluminium?,0,What is different about silver and aluminium?,0
flax is a kind of,plant,What is flax a kind of?,1,Flax is a kind of what?,1,What kind of plant is flax?,0
emissions from different vehicles are a major cause of,environmental pollution,What is a major cause of pollution?,0,What is a major cause of pollution from different vehicles?,0,What are emissions from different vehicles a major cause of?,1
a low-pitched sound is of a,men,What gender is a low-pitched sound of?,1,A low-pitched sound is of what gender?,0,A low-pitched sound is of which gender?,1
"in order to refine certain metals, such as copper and zinc we use",electrolysis,What process is used to refine metals?,1,What process is used to refine copper and zinc?,1,What process is used in order to refine metals?,
"according to Alexander's soldiers, India had","vast armies of foot soldiers, chariots and elephants",What kind of armies did India have?,0,What type of armies did India have?,0,What kind of army did India have?,0
the colour of copper sulphate changes to green on reaction with iron due to the formation of,iron sulphate,What substance changes the color of copper sulphate?,0,What reacts with copper sulphate to change its color?,0,What chemical changes the color of copper sulphate?,0
if a body is moving with zero acceleration then it means that the body is moving with,uniform speed,"If a body is moving with zero acceleration, what does it mean?",1,"If a body is moving with zero acceleration, then it means that it has what?",1,"If a body is moving with zero acceleration, then it means that it has what kind of speed?",1
"while playing, Rohit dropped a magnet from the house top. After that he brought the magnet near his iron pencil box but there was no attraction. This is due to the fact that",magnet loses its magnetism,What happens when a magnet is dropped from the house top?,1,Why did Rohit drop a magnet from his house top?,0,Why did Rohit drop a magnet from the house top?,0
excessive rains cause,floods,What do excessive rains cause?,1,What does excessive rains cause?,,What does excessive rain cause?,
the distribution of water is quite uneven. One of the reasons for that is uneven,rainfall,What is one of the reasons for uneven distribution of water?,1,What is one of the reasons the distribution of water is uneven?,,What is one reason the distribution of water is uneven?,
tooth decay is caused due to the deficiency of,calcium,What mineral causes tooth decay?,0,What element of calcium causes tooth decay?,0,What mineral is deficient in?,0
10⁻⁹ m is equal to,1 nm,What is the value of 10 9 m?,0,How many nm is equal to 10 9?,0,What is the square root of 10 9 m?,0
stone tools were used for stitching clothes made of,hides,Stone tools were used to stitch clothes made of what?,1,Stone tools were used to stitch clothes from what material?,1,Stone tools were used to stitch clothes made of what material?,
"if two ends of a wire are dipped in distilled water, the compass needle brought near the circuit",would remain still,What would happen to the compass needle if the wire was dipped in distilled water?,1,Would the compass needle stay still if the wire was dipped in distilled water?,0,What would happen to the compass needle if it was dipped in distilled water?,
the rates of rotation and revolution of the Earth are functions of the Earth's,mass and orbital position,The rate of rotation and revolution of the Earth is a function of what two things?,1,The rate of rotation and revolution of the Earth is a function of what two factors?,,The rate of rotation and revolution of the earth is a function of what two things?,
serampore college was located on the banks of river,hooghly,What was the name of the college?,0,What is the name of the college?,0,What was the nickname of the college?,0
the seeds of a mustard plant give us,oil,What do the seeds of a mustard plant give us?,1,What does the seeds of a mustard plant give us?,,What do the seeds of a mustard plant produce?,
"in our body, oxygen from lungs and digested food from intestine is transported to all other body parts through",blood,What part of the body receives oxygen from the lungs?,1,What part of the body gets oxygen from the lungs?,,In what part of the body is oxygen transported?,
hunter–Gatherers preferred to live in Caves and shelters as these,"provided them protection from rain, sun and wind",Why did hunter-gatherers prefer to live in caves?,1,Why did hunter-gatherers prefer to live in Caves?,,Why did hunter-gatherers prefer caves and shelters?,1
the sultanate reached its farthest extent during the reign of,mohammad Tuglaq,Who was the ruler of Tuglaq?,0,Who was the sultanate's ruler?,0,Who was the sultan of Tuglaq?,0
sib Singh was the tribal chief of,ahom,What was the name of the tribal chief?,0,What tribal chief was Sib Singh?,0,What was the tribal chief's name?,0
tomato is red due to presence of,plastid,What part of the tomato is red?,0,What part of a tomato is red?,0,What part of the tomato makes it red?,0
select the irrelevant statement,valleys are represented by the straight line,How are valleys represented?,0,How are valleys represented by the straight line?,0,How are the valleys represented?,0
sound can travel through,"any material medium which includes solids, liquids and gases",Sound can travel through what medium?,1,Sound can travel through what?,0,Sound can travel through what kind of medium?,
yeast are widely used for making,bread,What type of bread is often made with yeast?,0,What is a common bread made with yeast?,0,What is another name for yeast?,0
salvador Allende was the President of,chile,What country was Allende a president of?,1,What country was Allende the President of?,,What country was Allende a President of?,
the Cholas were famous for making,bronze images,What were the Cholas famous for making?,1,What were the Cholas known for making?,,Cholas made what type of art?,1
"fungi show a symbiotic relationship with blue-green algae, in life forms called",lichens,What type of algae is blue-green algae?,0,What type of algae is blue-green?,0,What is the name of a lichen?,0
the Parliament has the power of removing the President through a process of,impeachment,What is the process of removing the President called?,1,What is the process of removing the president called?,,What is the process of removing a President called?,
charaka was a famous,physician,What was charaka's profession?,1,What was the profession of charaka?,1,What was Charaka's profession?,
rulers built temples to demonstrate their,devotion,What did rulers build temples to demonstrate?,0,What did rulers build temples to show?,0,What did rulers build temples for?,1
a balanced diet consists of,all the necessary components of food in a fixed proportion,What does a balanced diet consist of?,1,What is a balanced diet?,1,A balanced diet consists of what?,
find the Incorrect option,garment exporters profit the most in the market chain,Which exporters profit the most from the market chain?,0,Which exporters make the most money?,0,Which exporters profit the most?,0
"match the list A and the list B               List A                                  List B          A.   Crust                      (i)  Silicon, alumina          B.   Sima                       (ii) Silicon, magnesium          C.   Sial                        (iii) Uppermost layer          D.   Nife                        (iv) Nickel, iron","(A)-(iii), (B)-(ii), (C)-(i), (D)-(iv)",What are the names of the list A and list B?,0,What are the names of the list A and B?,0,What are the names of the list A and List B?,0
a wise and judicious use of water comes under,water wise habits,What is a water wise habit?,0,What is a wise use of water?,0,What is judicious use of water considered?,0
"besides working on land, Thulasi","cooked food, cleaned the house and washed clothes",What other duties did Thulasi perform?,0,What else did Thulasi do?,0,What other duties did Thulasi do?,0
repulsion test using a magnet helps to,detect the presence of a magnet,What does a repulsion test do?,0,What does a repulsion test use?,0,What does a magnet test do?,0
choose the gas which is obtained by heating natural gas,hydrogen,What type of gas is obtained by heating natural gas?,1,What is the name of the gas obtained by heating natural gas?,,What type of gas is produced by heating natural gas?,
the body part that helps the fish to swim is its,fins,What part of the fish's body helps it swim?,1,What part of a fish's body helps it swim?,,What part of the body helps a fish swim?,
the company officials of Madras sent forces to Calcutta under the command of,robert Clive,Who was the commanding officer of Madras?,1,Who was the commander of the Madras forces?,,Who was the commander of Madras?,
one impact of technology on media is that,it helps in reaching out to millions of people,What is one impact of technology on media?,1,How does technology help media reach millions of people?,0,How does technology impact media?,
health means our ability to remain free of,illness and  injuries,What are two things we can't live without?,0,What are two things that we can't control?,0,What are two types of health issues?,0
the Preamble of the Indian Constitution states,"""We, the People of India""",Who is the Preamble of the Indian Constitution?,0,What does the Preamble of the Indian Constitution state?,1,What does the Preamble of the Indian Constitution say?,0
archaeologists discovered houses built by the people in Burzahom were generally made of,in the ground in Pits,Where were the houses built by the people in Burzahom?,1,Where were the houses built by the Burzahom people found?,,Where were the houses built in Burzahom?,
stone tools were also used for stitching clothes made of,animal skin,What kind of animal skin was used for sewing clothes?,0,What type of animal skin was used for sewing clothes?,0,What kind of animal skin was used to make clothes?,0
red Data book keeps the record of,all the plants and animals,What does the red Data book record?,1,What is kept in the red Data book?,1,What is in the red Data book?,
the prairies are also called the 'Granaries of the World' due to huge surplus,of wheat production,"Why are the prairies called the ""Granaries of the World""?",1,"Why are the prairies called the ""Granaries of the World?""",,What type of production does the prairies have?,1
aryans lived in tribal groups headed by a,rajan,Howaryans lived in tribal groups?,0,,0,,0
the Guerilla warfare was started by the Marathas in the Deccan during the reign of,aurangzeb,Who was the leader of the Marathas?,0,Who was aurangzeb?,0,Who was the ruler of the Deccan?,0
1 meter is equal to,1 000 mm,How many meters is equal to?,0,How many millimeters is equal to?,0,How many millimeters are equal to?,0
the Palaeolithic Period ranged between,"2 million years to 12,000 years ago",How many years ago was the Palaeolithic Period?,1,How long ago was the Palaeolithic Period?,,How old was the Palaeolithic Period?,
"during lightning, streaks of bright light and sound are produced due to the combination of",negative and positive charges,What types of charges are present in lightning?,0,What types of charges are present during lightning?,0,What types of charges are used to produce the sound and light?,0
humans  develop,two sets of teeth during their lifetime,How many sets of teeth do humans develop?,1,How many sets of teeth do humans have?,,How many teeth do humans have?,0
an electric cell has,a metal cap as a positive and a metal disc as a negative terminal,What is the positive terminal of an electric cell?,0,What type of terminal does an electric cell have?,0,What is a positive terminal for an electric cell?,0
