Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
the difference between canopy and understorey is that,understorey is present below canopy,What is that understorey is present below canopy?,0,What is the difference between canopy and understorey that understorey is present below?,0,What is the difference between canopy and understorey below?,0
"by friction, we are unable to charge",a copper rod,Who are unable to charge a copper rod by friction?,0,What are we unable to charge a copper rod by?,0,Are we unable to charge a copper rod by friction?,0
doctors use,concave mirrors,Who use concave mirrors?,0,What do doctors use?,0,Do doctors use concave mirrors?,0
"during an earthquake, we should rush",out in an open field,Where should we rush out during an earthquake?,1,Who should rush out in an open field during an earthquake?,0,What should we rush out in an open field during?,0
marsilea belongs to,pteridophyta,What belongs to pteridophyta?,0,What does marsilea belong to?,1,Does marsilea belong to pteridophyta?,0
"three cotton bags contain coils of different metals. To find the bag that contains iron coil without touching, we can use",bar magnet,How many cotton bags contain coils of different metals?,1,What contain coils of different metals?,0,What do three cotton bags contain coils of?,1
non-stick cookwares have the coating of,teflon,What do non-stick cookwares have the coating of?,0,What have the coating of teflon?,0,What do non-stick cookwares have?,0
air moves from the region where the air pressure is high to the region where,the pressure is low,What moves from the region where the air pressure is high to the region where the pressure is low?,0,Does air move from the region where the air pressure is high to the region where the pressure is low?,0,What does air move from?,0
regions where growth takes place in plants have,meristem,What do regions where growth takes place in plants have?,1,Do regions where growth takes place in plants have meristem?,0,What have meristem?,0
mark the correct consequence of relocation of factories,issues regarding the safety conditions of the workers remain unaddressed,,0,,0,,0
a mixture of iron filings and sulphur powder can be separated by using,a solution of carbon disulphide,What can be separated by using a solution of carbon disulphide?,0,Can a mixture of iron filings and sulphur powder be separated by using a solution of carbon disulphide?,0,,0
ten kilometres is equal to,10 00 000 centimetres,What is ten kilometres equal to?,0,What is equal to 10 00 000 centimetres?,0,Is ten kilometres equal to 10 00 000 centimetres?,0
natural fibres are obtained from    i. Wool   ii. Silk   iii. Polyester    iv. Linen   Select the correct answer using the code given below,"i, ii and iv only",,0,,0,,0
the Khilafat Issue was related to the Islam community of,ottoman Turkey,What was related to the Islam community of ottoman Turkey?,0,What was the Khilafat Issue related to?,1,Was the Khilafat Issue related to the Islam community of ottoman Turkey?,0
rani Laxmibai wanted the company to recognise her,adopted son,Who did Rani Laxmibai want the company to recognize?,0,What did Rani Laxmibai want to recognize her adopted son?,0,Who wanted the company to recognize her adopted son?,0
during inhalation,diaphragm moves down and rib cage moves outward,,0,,0,,0
"in the Rig Vedic time, the God Agni was the God of",fire,Who was the God of fire in the Rig Vedic time?,1,When was the God Agni the God of fire?,0,Who was the God Agni in the Rig Vedic time?,0
the Civil Rights Movement took place,u.S.A,What did the Civil Rights Movement take place u. S.?,0,What did the Civil Rights Movement take u. S. A?,0,What took place u. S. A?,0
earth’s distance from the Sun,varies throughout the year,When does earth's distance from the Sun vary?,0,What varies throughout the year?,0,Does earth's distance from the Sun vary throughout the year?,0
the primary function of photosynthesis is to convert,light energy into chemical energy,What is to convert light energy into chemical energy?,0,Is the primary function of photosynthesis to convert light energy into chemical energy?,0,,0
rusting of iron takes place in the presence of moisture and,oxygen,What takes place in the presence of moisture and oxygen?,0,What does rusting of iron take place in?,0,What does rusting of iron take in the presence of moisture and oxygen?,0
the Bakarwals belonged to,kashmir,Where did the Bakarwals belong?,1,Who belonged to kashmir?,0,What did the Bakarwals belong to?,0
the cells of the cork of the older plants have deposits of,suberin,What have deposits of suberin?,0,What do the cells of the cork of the older plants have?,0,What do the cells of the cork of the older plants have deposits of?,1
global climate witnessed change around,"12,000 years ago","What witnessed change around 12,000 years ago?",0,"Do global climate witness change around 12,000 years ago?",0,,0
rate of diffusion will be negligble when,sodium chloride and ammonium chloride are mixed,When will be negligble when sodium chloride and ammonium chloride are mixed?,0,Will rate of diffusion be negligble when sodium chloride and ammonium chloride are mixed?,0,,0
pressure flaking is one of the technique of,tool making,What is one of the technique of tool making?,1,What is pressure flaking one of?,0,What is pressure flaking?,1
a coconut tree is useful because it,provides oil,What is useful because it provides oil?,0,What does a coconut tree provide?,1,What provides oil?,0
diabetes is caused due to decreased secretion of,insulin,What is caused due to decreased secretion of insulin?,1,What is diabetes caused due to?,0,Is diabetes caused due to decreased secretion of insulin?,0
the filament of an electric bulb glows on passage of current,due to the heating effect of an electric current,What glows on passage of current due to the heating effect of an electric current?,0,What does the filament of an electric bulb glow on?,0,Does the filament of an electric bulb glow on passage of current due to the heating effect of an electric current?,0
"to relieve indigestion, we take an antacid such as milk of magnesia, which contains",magnesium hydroxide,What contains magnesium hydroxide?,0,What does magnesia contain?,0,Does magnesia contain magnesium hydroxide?,0
the UN Security Council has,fifteen members,Who does the UN Security Council have?,0,What has fifteen members?,0,Does the UN Security Council have fifteen members?,0
the Mauryan Empire was founded more than,"2,300 years ago","What was founded more than 2,300 years ago?",0,"Was the Mauryan Empire founded more than 2,300 years ago?",0,,0
the different types of weather patterns that we normally observe are      i. Sunny      ii. Tropical      iii. Cloudy      iv. Rainy,"i, iii and iv only",,0,,0,,0
cities developed on the bank of the Ganga around,2500 year ago,What developed on the bank of the Ganga around 2500 year ago?,1,What did cities develop on around 2500 year ago?,0,Did cities develop on the bank of the Ganga around 2500 year ago?,0
strongest forces of attraction exists between the particles of,copper,What does strongest forces of attraction exist between?,0,What exists between the particles of copper?,1,Does strongest forces of attraction exist between the particles of copper?,0
in acidic solution china rose indicator turns to,magenta,What rose indicator turns to magenta in acidic solution?,0,What did china rise to magenta in acidic solution?,0,What did china rise indicator turns to in acidic solution?,0
the use of the Lahore Gate Improvement Scheme for the residents of old Walled City of Delhi was to,draw them out to new areas,What was to draw them out to new areas?,0,Was the use of the Lahore Gate Improvement Scheme for the residents of old Walled City of Delhi to draw them out to new areas?,0,,0
mark the term used for fair and just trial,impartial judgment,,0,,0,,0
saline water supports,mangrove forests,What supports mangrove forests?,0,What does saline water support?,0,Does saline water support mangrove forests?,0
pulmonary vein carries,oxygen rich blood,What carries oxygen rich blood?,1,What does pulmonary vein carry?,1,Does pulmonary vein carry oxygen rich blood?,0
scientific concept of work suggest that work is said to be done if,application of force on a body that displaces it,What suggest that work is said to be done if application of force on a body that displaces it?,0,Do scientific concept of work suggest that work is said to be done if application of force on a body that displaces it?,0,What do scientific concept of work suggest?,1
the endomembrane system of the cell includes,endoplasmic reticulum,What does the endomembrane system of the cell include?,1,What includes endoplasmic reticulum?,0,Does the endomembrane system of the cell include endoplasmic reticulum?,0
occurrence of lightning is an example of,fast change,What is occurrence of lightning an example of?,0,What is an example of fast change?,1,What is occurrence of lightning?,0
"if two ends of a wire are dipped in orange juice, then a compass needle brought near the circuit",shows deflection,"If two ends of a wire are dipped in orange juice, what shows deflection?",0,"If two ends of a wire are dipped in orange juice, what does then a compass needle brought near the circuit show?",1,"If two ends of a wire are dipped in orange juice, does then a compass needle brought near the circuit show deflection?",0
atoms of different elements have,different masses and different chemical properties,What have different masses and different chemical properties?,0,What do atoms of different elements have?,1,Do atoms of different elements have different masses and different chemical properties?,0
an appropriate distance between the seeds is essential to avoid,overcrowding,What is essential to avoid overcrowding?,0,Is an appropriate distance between the seeds essential to avoid overcrowding?,0,,0
isotopes of an element have,same atomic number but different mass number,What do isotopes of an element have?,1,What have same atomic number but different mass number?,1,Do isotopes of an element have same atomic number but different mass number?,0
the Article 21 of the Constitution includes the right to enjoyment of pollution free,water and air,What does the Article 21 of the Constitution include?,1,What includes the right to enjoyment of pollution free water and air?,1,Does the Article 21 of the Constitution include the right to enjoyment of pollution free water and air?,0
people participate in the government decisions by,analysing the government policies,,0,,0,,0
loud and soft sound can have the same,frequency,What can have the same frequency?,0,What can loud and soft sound have?,1,Can loud and soft sound have the same frequency?,0
the judges of the Supreme Court retire at the age of,65,What do the judges of the Supreme Court retire at?,0,Who retire at the age of 65?,0,Do the judges of the Supreme Court retire at the age of 65?,0
yellow yolk of egg represents,single cell,What does yellow yolk of egg represent?,1,What represents single cell?,0,Does yellow yolk of egg represent single cell?,0
the Supreme Court of India was established on,"26th January,1950",When was the Supreme Court of India established on 26th?,0,"What was established on 26th January, 1950?",0,"Was the Supreme Court of India established on 26th January, 1950?",0
temperature of –200°C is equal to,73 K,What is temperature of 200C equal to K?,0,What is equal to 73 K?,0,Is temperature of 200C equal to 73 K?,0
ron is standing in the middle of a field with a compass. The red portion of the compass needle is pointing away from him. He wants to go towards east then he should,turn right and walk straight,Where is ron standing with a compass?,0,What is ron standing in with a compass?,0,What is standing in the middle of a field with a compass?,0
increase in the sea level happens due to increased,carbon dioxide in the atmosphere,What happens due to increased carbon dioxide in the atmosphere?,0,What does increase in the sea level happen due to?,0,Does increase in the sea level happen due to increased carbon dioxide in the atmosphere?,0
different tissues join to form a,organ,What join to form a organ?,1,What do different tissues join to form?,1,Do different tissues join to form a organ?,0
cO₂ can be produced by –,sodium bicarbonate (baking soda) and Potassium bicarbonate,What can be produced by sodium bicarbonate and Potassium bicarbonate?,1,What can cO be produced by?,0,Can cO be produced by sodium bicarbonate and Potassium bicarbonate?,0
maximum temperature of the day normally occurs,in the afternoon,When does maximum temperature of the day normally occur?,1,What normally occurs in the afternoon?,0,Does maximum temperature of the day normally occur in the afternoon?,0
the part of sugarcane plant from which sugar is obtained is its,stem,What is the part of sugarcane plant from which sugar is obtained?,1,What is its stem?,0,Is the part of sugarcane plant from which sugar is obtained its stem?,0
"a bread shows fluffy patches of white, green or brown colour caused due to the growth of",fungi,"What does a bread show fluffy patches of white, green or brown color caused due to?",0,"What shows fluffy patches of white, green or brown color caused due to the growth of fungi?",1,What does a bread show caused due to the growth of fungi?,0
in all primary cells chemical energy is changed into …………… energy,electrical,,0,,0,,0
excessive industrialisation is a threat to,environment,What is a threat to environment?,0,What is excessive industrialisation?,0,Is excessive industrialisation a threat to environment?,0
thermal power plants use,coal,What do thermal power plants use?,1,What use coal?,0,Do thermal power plants use coal?,0
the stage in life cycle of an insect excludes,sericulture,When excludes sericulture?,0,Does the stage in life cycle of an insect exclude sericulture?,0,,0
golgi apparatus is involved in the formation of,lysosome,What is involved in the formation of lysosome?,1,What is golgi apparatus involved in?,0,Is golgi apparatus involved in the formation of lysosome?,0
fertilisers ensure increased vegetative growth and healthy plants by supplying,"nitrogen, phosphorus and potassium",,0,,0,,0
the amplitude of sound changes suddenly in case of a,noise,,0,,0,,0
bats differ from birds in presence of,diaphragm,What differ from birds in presence of diaphragm?,0,What do bats differ from in presence of diaphragm?,0,What do bats differ from birds in?,0
golgi apparatus is involved in the formation of,lysosome,What is involved in the formation of lysosome?,1,What is golgi apparatus involved in?,0,Is golgi apparatus involved in the formation of lysosome?,0
a pin hole camera is based on the phenomenon of,rectilinear propagation of light,What is based on the phenomenon of rectilinear propagation of light?,0,What is a pin hole camera based on?,1,Is a pin hole camera based on the phenomenon of rectilinear propagation of light?,0
‘The Origin of Species’ is associated with,darwin,Who is the Origin of Species ' associated with?,0,What is associated with darwin?,0,Is the Origin of Species ' associated with darwin?,0
all materials,occupy space and have mass,,0,,0,,0
the constitution of India recognises the right to water as being a part of,right to life,What does the constitution of India recognize as being a part of right to life?,0,What recognizes the right to water as being a part of right to life?,1,Does the constitution of India recognize the right to water as being a part of right to life?,0
removal of weeds is necessary for plant growth because weeds,compete with crop for nutrition,What is necessary for plant growth because weeds compete with crop for nutrition?,0,What is removal of weeds necessary for because weeds compete with crop for nutrition?,0,What compete with crop for nutrition?,1
maharaja Ranjit Singh united,the Sikhs living west of Satluj,Who united the Sikhs living west of Satluj?,1,Who do maharaja Ranjit Singh unite living west of Satluj?,0,Who do maharaja Ranjit Singh unite the Sikhs living west of?,1
faience was used to make,beads,What was used to make beads?,1,Was faience used to make beads?,0,,0
switch can be connected,any where in between the circuit elements within the circuit,What can be connected any where in between the circuit elements within the circuit?,1,What can switch be connected any where in between the circuit elements within?,0,What can switch be connected where in between the circuit elements within the circuit?,0
during  Rutherford ’s experiment most of the alpha particles passed through the gold foil undeviated. This clearly proves that,most of the space inside the atom is empty and the nucleus is very small in    size,What particles passed through the gold foil undeviated during Rutherford's experiment?,0,What does most of the alpha particles passed through during Rutherford's experiment?,0,Whose experiment does most of the alpha particles passed through the gold foil undeviated during?,0
friction is unable to,produce lubrication,What is unable to produce lubrication?,0,Is friction unable to produce lubrication?,0,,0
coconut oil,all of the above,,0,,0,,0
motion of pendulum of clock is an example of,periodic change,What is an example of periodic change?,1,What is motion of pendulum of clock?,0,What is motion of pendulum of clock an example of?,1
the wool of sheep is removed only once a year before the beginning of,summer season,What is removed only once a year before the beginning of summer season?,0,When is the wool of sheep removed only once before the beginning of summer season?,0,What is the wool of sheep removed only once a year before?,0
"on soaking moong seeds in water for 4 to 5 days, they develop",sprouts,What do they develop?,0,Who develop sprouts?,0,What develop sprouts?,0
"during heavy exercises like swimming, running, cycling etc.,  the rate of breathing",increases,,0,,0,,0
"in India, people have direct involvement in electing their representatives because of",universal Adult Franchise,Where do people have direct involvement in electing their representatives because of universal Adult Franchise?,0,What have direct involvement in electing their representatives because of universal Adult Franchise in India?,0,What do people have direct involvement in electing their representatives because of universal Adult Franchise in?,0
colour blindness is the name given to the inability to,distinguish between colours,What is the name given to the inability to distinguish between colors?,1,What is color blindness?,1,Is color blindness the name given to the inability to distinguish between colors?,0
"according to the findings, the large letters of the Harappan script were carved out of",white stone,What were the large letters of the Harappan script carved out of?,0,What were carved out of white stone?,0,Were the large letters of the Harappan script carved out of white stone?,0
plants having leaves with reticulate venation have,tap root,What have plants having leaves with reticulate venation tap?,0,What have tap root?,0,Have plants having leaves with reticulate venation tap root?,0
energy required to operate a pump is  obtained from other than,coal,What is energy required to operate a pump obtained from other than?,0,What is obtained from other than coal?,0,Is energy required to operate a pump obtained from other than coal?,0
petroleum and natural gas have been discovered near the basins of,godavari and Krishna,What have been discovered near the basins of godavari and Krishna?,1,What have petroleum and natural gas been discovered near?,0,Have petroleum and natural gas been discovered near the basins of godavari and Krishna?,0
dalton proposed,the term atom,Who proposed the term atom?,1,What did dalton propose?,0,Did dalton propose the term atom?,0
the term Fundamental Rights is mentioned in Part III of the Constitution of,india,,0,,0,,0
petroleum is formed from dead remains of,sea organisms,What is formed from dead remains of sea organisms?,1,What is petroleum formed from?,1,Is petroleum formed from dead remains of sea organisms?,0
"chir, Pine and Deodar comes under",mountain vegetation,What does Pine and Deodar come under?,1,What comes under mountain vegetation?,0,Does Pine and Deodar come under mountain vegetation?,0
yajnas were performed so as to,please Gods and Goddesses,Who were performed so as to please Gods and Goddesses?,0,Were yajnas performed so as to please Gods and Goddesses?,0,,0
"according to Rokeya Sakhawat, 'lady land' is a place where","women had the freedom to study, work and create inventions","What is a place where women had the freedom to study, work and create inventions?",0,What is ` lady land '?,0,"Is ` lady land ' a place where women had the freedom to study, work and create inventions?",0
urban street vendors offer,affordable services to city dwellers,Who do urban street vendors offer affordable services to?,0,Who offer affordable services to city dwellers?,0,What do urban street vendors offer to city dwellers?,0
these days the head of the safety matchstick contains,both a and b,,0,,0,,0
the British thought that granting of trade privileges and concessions could be easier with the help of a,puppet,What did the British think that granting of trade privileges and concessions could be easier with?,0,Who thought that granting of trade privileges and concessions could be easier with the help of a puppet?,1,What did the British think with?,0
an option that is being used by the government to prevent unfair practices to achieve social justice,"formulate, enforce and uphold laws",,0,,0,,0
a plant in which leaf is modified into tendril,pea plant,What is modified into tendril pea plant?,0,What is a plant in which leaf modified into?,0,Is a plant in which leaf modified into tendril pea plant?,0
the forest fire happens during,extreme heat of summer,What happens during extreme heat of summer?,0,What does the forest fire happen during?,0,Does the forest fire happen during extreme heat of summer?,0
we eat onion in the form of its,bulb,Who eat onion in the form of its bulb?,0,What do we eat onion in?,1,Do we eat onion in the form of its bulb?,0
the thin wire that glows when current passes through a bulb is made up of,tungsten,What is the thin wire that glows when current passes through a bulb made up of?,0,Is the thin wire that glows when current passes through a bulb made up of tungsten?,0,What is made up of tungsten?,0
the period referred as 'Delhi Renaissance' was between,1830 - 1857,When referred as ` Delhi Renaissance ' was between 1830- 1857?,0,Did the period refer as ` Delhi Renaissance ' was between 1830- 1857?,0,,0
grooves in tyres,increase friction between the tyre and the road,What increase friction between the tyre and the road?,0,What do grooves in tyres increase?,0,Do grooves in tyres increase friction between the tyre and the road?,0
polyester is made of repeating units of a chemical called,ester,What is made of repeating units of a chemical called ester?,1,What is polyester made of?,1,Is polyester made of repeating units of a chemical called ester?,0
the climate is the average weather pattern taken over,"a long time, say 25 years","How many years is the climate the average weather pattern taken over a long time, say?",1,"When is the climate the average weather pattern taken over a long time, say?",1,"What is the average weather pattern taken over a long time, say 25 years?",0
in winnowing,lighter husk particles are carried away by the wind,What are lighter husk particles carried away by in winnowing?,0,What are carried away by the wind in winnowing?,0,What are lighter husk particles carried away by the wind in?,0
the state government make laws regarding,sanitation and health facilities,What make laws regarding sanitation and health facilities?,0,What do the state government make?,0,Do the state government make laws regarding sanitation and health facilities?,0
"in Permanent Land Revenue Settlement, land revenue was fixed",permanently,What was fixed permanently in Permanent Land Revenue Settlement?,0,What was land revenue fixed permanently in?,1,Was land revenue fixed permanently in Permanent Land Revenue Settlement?,0
the range of laboratory thermometer is generally between,10°C to 110°C,What is generally between 10C to 110C?,0,What is the range of laboratory thermometer generally between?,1,Is the range of laboratory thermometer generally between 10C to 110C?,0
"if a person goes from the Western Hemisphere to the Eastern Hemisphere, he/she needs to",increase time in his watch,"If a person goes from the Western Hemisphere to the Eastern Hemisphere, when does he\/she need to increase in his watch?",0,"If a person goes from the Western Hemisphere to the Eastern Hemisphere, what needs to increase time in his watch?",0,"If a person goes from the Western Hemisphere to the Eastern Hemisphere, what does he\/she need to increase time in?",0
choose a process that can be reversed,inflation of a balloon,,0,,0,,0
advertisements describe the products by,focusing on the quality of the product,What describe the products by focusing on the quality of the product?,0,What do advertisements describe by focusing on the quality of the product?,0,Do advertisements describe the products by focusing on the quality of the product?,0
the balance of oxygen and carbon dioxide in atmosphere is maintained through,photosynthesis in plants and respiration in plants and animals,What is maintained through photosynthesis in plants and respiration in plants and animals?,1,What is the balance of oxygen and carbon dioxide in atmosphere maintained through in plants and animals?,0,What is the balance of oxygen and carbon dioxide in atmosphere maintained through photosynthesis in plants and respiration in?,0
a highly polished iron nail is placed in a saturated solution of copper sulphate. The nail is taken out after 5 minutes. The nail is found to be covered with,reddish deposit,What is placed in a saturated solution of copper sulphate?,0,What is found to be covered with reddish deposit?,0,What is a highly polished iron nail placed in?,1
menstrual flow occurs due to shedding of,uterine lining,What occurs due to shedding of uterine lining?,0,What does menstrual flow occur due to?,1,,0
no rain or very less rain,causes drought,What does no rain or very less rain cause?,0,What causes drought?,0,Does no rain or very less rain cause drought?,0
the formula made by Panini were around,"3,000",What were the formula made by Panini around?,0,"What were around 3,000?",0,"Were the formula made by Panini around 3,000?",0
"bite of female anopheles mosquito is harmful for human-beings, because it",acts as a carrier of malaria causing parasite,Who is bite of female anopheles mosquito harmful for?,1,What acts as a carrier of malaria causing parasite?,0,What is harmful for human-beings?,0
a liquid is different from a solid which has,no definite shape,What is different from a solid which has no definite shape?,1,What is a liquid different from which has no definite shape?,0,What is a liquid different from a solid?,0
in transverse waves,particles oscillate in a direction perpendicular to the direction of wave propagation,What did particles oscillate in a direction perpendicular to in transverse waves?,0,What oscillate in a direction perpendicular to the direction of wave propagation in transverse waves?,0,What did particles oscillate in to the direction of wave propagation in transverse waves?,0
archimedes principle states that,"When a body is immersed fully or partially in a fluid, it experiences an upward force that is equal to the weight of the fluid displaced by it","What does archimedes principle state that When a body is immersed fully or partially in a fluid, it experiences?",0,What is immersed fully or partially in a fluid?,0,What is a body immersed fully or partially in?,0
anthers produce,pollen grains,What produce pollen grains?,0,What do anthers produce?,0,Do anthers produce pollen grains?,0
electricity is a form of,energy,What is a form of energy?,0,What is electricity a form of?,1,What is electricity?,0
things in a weekly market are cheaper because of,competition,What are things in a weekly market cheaper because of?,1,What are cheaper because of competition?,0,Are things in a weekly market cheaper because of competition?,0
"the languages spoken in the north eastern region of India, belongs to",tibeto- Burman family,Who does the languages spoken in the north eastern region of India belong to?,0,What belongs to tibeto- Burman family?,0,Does the languages spoken in the north eastern region of India belong to tibeto- Burman family?,0
a baby is exposed to sunlight to help his body gain,vitamin D,Who is exposed to sunlight to help his body gain vitamin D?,0,What is a baby exposed to to help his body gain vitamin D?,0,Is a baby exposed to sunlight to help his body gain vitamin D?,0
a human ankle shows,2 degree of freedom,What does a human ankle show 2 degree of?,1,What shows 2 degree of freedom?,0,What does a human ankle show?,0
"blood, bone, ligament, cartilage and areolar are types of",connective tissue,What are types of connective tissue?,1,"What are blood, bone, ligament, cartilage and areolar types of?",0,"What are blood, bone, ligament, cartilage and areolar?",1
the Right to Life and Personal Liberty is mentioned in the Article,21,What is the Right to Life and Personal Liberty mentioned in?,1,What is mentioned in the Article 21?,1,Is the Right to Life and Personal Liberty mentioned in the Article 21?,0
"due to directive property of magnets, a freely suspended bar magnet",comes to rest in North-South direction,What does due to directive property of magnets come to rest in?,1,What comes to rest in North-South direction?,0,What are a freely suspended bar magnet?,0
stupas were the master pieces of,mauryan Art,Who were the master pieces of mauryan Art?,0,What were stupas the master pieces of?,0,What were stupas?,0
we get a complete dark shadow,when the light from the torch is made to fall on a book,Who get a complete dark shadow when the light from the torch is made to fall on a book?,0,What do we get when the light from the torch is made to fall on a book?,1,Do we get a complete dark shadow when the light from the torch is made to fall on a book?,0
soap solution is an example of,sol,What is an example of sol?,1,What is soap solution an example of?,1,What is soap solution?,0
atoms of silver and aluminium have,different chemical properties,What do atoms of silver and aluminium have?,0,What have different chemical properties?,0,Do atoms of silver and aluminium have different chemical properties?,0
flax is a kind of,plant,What is a kind of plant?,0,What is flax a kind of?,0,What is flax?,0
emissions from different vehicles are a major cause of,environmental pollution,What are a major cause of environmental pollution?,1,What are emissions from different vehicles a major cause of?,1,What are emissions from different vehicles?,0
a low-pitched sound is of a,men,Who is a low-pitched sound of?,0,What is of a men?,0,Is a low-pitched sound of a men?,0
"in order to refine certain metals, such as copper and zinc we use",electrolysis,What are such as copper and zinc?,0,What are certain metals as?,0,Who use electrolysis in order to refine certain metals?,0
"according to Alexander's soldiers, India had","vast armies of foot soldiers, chariots and elephants",Who did India have vast armies of?,0,What had vast armies of foot soldiers?,0,What did India have?,0
the colour of copper sulphate changes to green on reaction with iron due to the formation of,iron sulphate,What the color of copper sulphate changes to?,0,What changes to green on reaction with iron due to the formation of iron sulphate?,0,,0
if a body is moving with zero acceleration then it means that the body is moving with,uniform speed,,0,,0,,0
"while playing, Rohit dropped a magnet from the house top. After that he brought the magnet near his iron pencil box but there was no attraction. This is due to the fact that",magnet loses its magnetism,Who dropped a magnet from the house top?,0,What did Rohit drop from the house top?,0,What did Rohit bring the magnet near his iron pencil box after?,0
excessive rains cause,floods,What do excessive rains cause?,1,What cause floods?,0,Do excessive rains cause floods?,0
the distribution of water is quite uneven. One of the reasons for that is uneven,rainfall,What is uneven rainfall?,0,What is quite uneven?,0,What is one of the reasons for that?,0
tooth decay is caused due to the deficiency of,calcium,What is caused due to the deficiency of calcium?,1,What is tooth decay caused due to?,1,Is tooth decay caused due to the deficiency of calcium?,0
10⁻⁹ m is equal to,1 nm,What is equal to 1 nm?,0,What is 10 m equal to?,0,Is 10 m equal to 1 nm?,0
stone tools were used for stitching clothes made of,hides,What were used for stitching clothes made of hides?,1,What were stone tools used for?,0,Were stone tools used for stitching clothes made of hides?,0
"if two ends of a wire are dipped in distilled water, the compass needle brought near the circuit",would remain still,"If two ends of a wire are dipped in distilled water, what would remain still?",0,"If two ends of a wire are dipped in distilled water, would the compass needle brought near the circuit remain still?",0,,0
the rates of rotation and revolution of the Earth are functions of the Earth's,mass and orbital position,When are functions of the Earth's mass and orbital position?,0,What are the rates of rotation and revolution of the Earth?,0,What are the rates of rotation and revolution of the Earth functions of?,0
serampore college was located on the banks of river,hooghly,What was located on the banks of river hooghly?,0,What was serampore college located on?,0,Was serampore college located on the banks of river hooghly?,0
the seeds of a mustard plant give us,oil,What give us oil?,0,Do the seeds of a mustard plant give us oil?,0,,0
"in our body, oxygen from lungs and digested food from intestine is transported to all other body parts through",blood,What is oxygen from lungs and digested food from intestine transported to all other body parts through blood in?,0,What is transported to all other body parts through blood in our body?,0,What is oxygen from lungs and digested food from intestine transported to through blood in our body?,0
hunter–Gatherers preferred to live in Caves and shelters as these,"provided them protection from rain, sun and wind",,0,,0,,0
the sultanate reached its farthest extent during the reign of,mohammad Tuglaq,What reached its farthest extent during the reign of mohammad Tuglaq?,0,When did the sultanate reach its farthest extent?,0,What did the sultanate reach during the reign of mohammad Tuglaq?,0
sib Singh was the tribal chief of,ahom,Who was Sib Singh the tribal chief of?,1,Who was the tribal chief of ahom?,1,Who was Sib Singh?,1
tomato is red due to presence of,plastid,What is red due to presence of plastid?,0,Is tomato red due to presence of plastid?,0,,0
select the irrelevant statement,valleys are represented by the straight line,,0,,0,,0
sound can travel through,"any material medium which includes solids, liquids and gases","What can travel through any material medium which includes solids, liquids and gases?",0,What can sound travel through?,0,"Can sound travel through any material medium which includes solids, liquids and gases?",0
yeast are widely used for making,bread,What are widely used for making bread?,1,Are yeast widely used for making bread?,0,,0
salvador Allende was the President of,chile,Who was the President of chile?,0,What was salvador Allende the President of?,0,Who was salvador Allende?,0
the Cholas were famous for making,bronze images,Who were famous for making bronze images?,1,Were the Cholas famous for making bronze images?,0,,0
"fungi show a symbiotic relationship with blue-green algae, in life forms called",lichens,What show a symbiotic relationship with blue-green algae?,0,What do fungi show?,1,Do fungi show a symbiotic relationship with blue-green algae?,0
the Parliament has the power of removing the President through a process of,impeachment,What has the power of removing the President through a process of impeachment?,0,What does the Parliament have?,0,Does the Parliament have the power of removing the President through a process of impeachment?,0
charaka was a famous,physician,Who was a famous physician?,0,Who was charaka?,1,Was charaka a famous physician?,0
rulers built temples to demonstrate their,devotion,What did rulers build to demonstrate their devotion?,1,What built temples to demonstrate their devotion?,0,What did rulers build temples to demonstrate?,0
a balanced diet consists of,all the necessary components of food in a fixed proportion,What does a balanced diet consist of in a fixed proportion?,1,What consists of all the necessary components of food in a fixed proportion?,0,What does a balanced diet consist of all the necessary components of food in?,0
find the Incorrect option,garment exporters profit the most in the market chain,,0,,0,,0
"match the list A and the list B               List A                                  List B          A.   Crust                      (i)  Silicon, alumina          B.   Sima                       (ii) Silicon, magnesium          C.   Sial                        (iii) Uppermost layer          D.   Nife                        (iv) Nickel, iron","(A)-(iii), (B)-(ii), (C)-(i), (D)-(iv)",,0,,0,,0
a wise and judicious use of water comes under,water wise habits,What does a wise and judicious use of water come under?,0,What comes under water wise habits?,0,Does a wise and judicious use of water come under water wise habits?,0
"besides working on land, Thulasi","cooked food, cleaned the house and washed clothes","What did Thulasi cooked food, clean?",0,Who cleaned the house and washed clothes?,0,"Did Thulasi cooked food, clean the house and washed clothes?",0
repulsion test using a magnet helps to,detect the presence of a magnet,What does repulsion test using a magnet help to detect the presence of?,1,What does repulsion test using a magnet help to detect?,0,What helps to detect the presence of a magnet?,1
choose the gas which is obtained by heating natural gas,hydrogen,,0,,0,,0
the body part that helps the fish to swim is its,fins,What do the body part that helps the fish to swim is?,1,What swim is its fins?,0,Do the body part that helps the fish to swim is its fins?,0
the company officials of Madras sent forces to Calcutta under the command of,robert Clive,Who sent forces to Calcutta under the command of robert Clive?,1,Where did the company officials of Madras send forces under the command of robert Clive?,1,What did the company officials of Madras send forces to Calcutta under?,0
one impact of technology on media is that,it helps in reaching out to millions of people,What is that it helps in reaching out to millions of people?,0,Is one impact of technology on media that it helps in reaching out to millions of people?,0,What is one impact of technology on media to?,1
health means our ability to remain free of,illness and  injuries,What does health mean?,0,What means our ability to remain free of illness and injuries?,0,Does health mean our ability to remain free of illness and injuries?,0
