,Objective Question,Original Answer,Sub Ques 1 ,Label 1,Sub Ques 2,Label 2,Sub Ques 3,Label 3,,,,,,,,,,,,,,,,,,,
106,"After World War II, which action was taken by many African territories?",demanding independence from their colonial rulers,What was taken by many African territories after World War II?,1,What was action taken by after World War II?,1,What was action taken by many African territories after?,0,,,,,,,,,,,,,,,,,,,
107,Private solutions may not always be possible if negotiating and enforcing these solutions involve high,transaction costs,What may not always be possible if negotiating?,1,What may not always be possible if enforcing these solutions involve high transaction costs?,0,May private solutions not always be possible if negotiating?,0,,,,,,,,,,,,,,,,,,,
108,"information is remembered without explicit cues or stimuli, often verbatim in",recall,"What is remembered without explicit cues or stimuli, often verbatim in recall?",1,"Is information remembered without explicit cues or stimuli, often verbatim in recall?",0,,,,,,,,,,,,,,,,,,,,,
109,Many scientist believe that the ?greenhouse effect? is the result of,"using large amounts of gasoline, oil, and coal in developed nations","What is oil, and coal?",0,Who believe that the?,0,What do many scientist believe that?,0,,,,,,,,,,,,,,,,,,,
110,The fact that we see negative afterimages supports which theory of color vision?,opponent-process,What supports which theory of color vision?,0,What does the fact that we see negative afterimages support which theory of?,0,What does the fact that we see negative afterimages support?,1,,,,,,,,,,,,,,,,,,,
111,Probably the best known aspect of Tang art was?,glazed pottery figurines,Was the best known aspect of Tang art?,1,What was?,0,,,,,,,,,,,,,,,,,,,,,
112,firms in the United States are typically classified as,imperfectly competitive,What are typically classified as imperfectly competitive?,1,Are firms in the United States typically classified as imperfectly competitive?,0,,,,,,,,,,,,,,,,,,,,,
113,the media usually report on America's social problems in a manner that,encourages government to take on more and more tasks,,,,,,,,,,,,,,,,,,,,,,,,,
114,"When two countries choose to engage in international trade,",both countries will benefit,How many countries choose to engage in international trade?,0,What choose to engage in international trade?,0,What do two countries choose to engage in?,0,,,,,,,,,,,,,,,,,,,
115,"in the nervous system, electrical charges are set up because of unequal concentrations of ions inside and outside the cell. This state is known as a(n)",resting potential,What are electrical charges set up because of in the nervous system?,0,What are set up because of unequal concentrations of ions inside and outside the cell in the nervous system?,1,What are electrical charges set up because of unequal concentrations of ions inside and outside the cell in?,0,,,,,,,,,,,,,,,,,,,
116,it is apparent that externalities are present in a market whenever,private costs differ from social costs,What is it apparent that externalities are present in whenever private costs differ from social costs?,0,What is apparent that externalities are present in a market whenever private costs differ from social costs?,0,Is it apparent that externalities are present in a market whenever private costs differ from social costs?,0,,,,,,,,,,,,,,,,,,,
117,a monopolistically competitive market is one that consists of,a large number of sellers all offering similar but different products,What is one that consists of a large number of sellers all offering similar but different products?,1,Who is a monopolistically competitive market?,0,Is a monopolistically competitive market one that consists of a large number of sellers all offering similar but different products?,0,,,,,,,,,,,,,,,,,,,
118,"within their respective nations, both Ho Chi Minh and Fidel Castro achieved their goals by",using armed conflict to bring a communist government to power,What did both Ho Chi Minh and Fidel Castro achieve by using armed conflict to bring a communist government to power within their respective nations?,0,What did both Ho Chi Minh and Fidel Castro achieve their goals by using armed conflict to bring a communist government to power within?,0,Who achieved their goals by using armed conflict to bring a communist government to power within their respective nations?,1,,,,,,,,,,,,,,,,,,,
119,"from the mid-1960s to the early 1980s, the biggest change in government spending was the",increase in social service expenditures and decline in defense spending,What was the increase in social service expenditures and decline in defense spending?,0,What was the biggest change in government spending?,0,Was the biggest change in government spending the increase in social service expenditures and decline in defense spending?,0,,,,,,,,,,,,,,,,,,,
120,"global problems of uneven economic development, environmental pollution, and hunger reflect the need for",increased international cooperation,What reflect the need for increased international cooperation?,1,"What do global problems of uneven economic development, environmental pollution, and hunger reflect?",1,"Do global problems of uneven economic development, environmental pollution, and hunger reflect the need for increased international cooperation?",0,,,,,,,,,,,,,,,,,,,
121,"Members of management at Growing Green, a company that markets organic and environmentally friendly gardening and landscaping supplies and equipment, are evaluating the benefits and disadvantages of indirect exporting, direct exporting, and licensing. In which stage of the international marketing process is Growing Green?",deciding how to enter the market,Who are evaluating the benefits and disadvantages of indirect direct exporting?,0,What are members of management at Growing Green evaluating direct exporting?,0,Who are evaluating the benefits and disadvantages of indirect exporting?,0,,,,,,,,,,,,,,,,,,,
122,"You do not want a large, unattractive political sign in your yard. However, if you initially agree to put a small sign in your window, later you are more likely to allow the large sign in your yard. This course of events is described by the",foot-in-the-door effect,What is described by the foot-in-the-door effect?,1,"Who does not want a large, unattractive political sign in your yard?",0,What is this course of events described by?,0,,,,,,,,,,,,,,,,,,,
123,"british control over South Africa, French control over Indochina, and Spanish control over Mexico are examples of",imperialism,"What are british control over South Africa, French control over Indochina, and Spanish control over Mexico?",0,What are examples of imperialism?,1,"What are british control over South Africa, French control over Indochina, and Spanish control over Mexico examples of?",1,,,,,,,,,,,,,,,,,,,
124,most school systems are run,as independent local governments,What are run as independent local governments?,0,What are most school systems run as?,1,Are most school systems run as independent local governments?,0,,,,,,,,,,,,,,,,,,,
125,in the short run a firm should,shut down only if total revenues are less than variable cost,What should a firm shut down only if total revenues are less than variable cost in?,0,What should shut down only if total revenues are less than variable cost in the short run?,0,Should a firm shut down only if total revenues are less than variable cost in the short run?,0,,,,,,,,,,,,,,,,,,,
126,Which type of government is shown in the cartoon?,an absolute monarchy,,,,,,,,,,,,,,,,,,,,,,,,,
127,the profit-maximizing rule for a firm in a monopolistically competitive market is to produce the quantity at which,marginal revenue is equal to marginal cost,What is to produce the quantity at which marginal revenue is equal to marginal cost?,0,Is the profit-maximizing rule for a firm in a monopolistically competitive market to produce the quantity at which marginal revenue is equal to marginal cost?,0,,,,,,,,,,,,,,,,,,,,,
128,"in 1898, prospectors on the Klondike River discovered gold. This discovery caused an unexpected price level","increase, which helped debtors at the expense of creditors",When did prospectors on the Klondike River discover gold?,0,What did prospectors on the Klondike River discover in 1898?,1,Who discovered gold in 1898?,0,,,,,,,,,,,,,,,,,,,
129,the right to privacy was applied to the states by the Supreme Court case of,Griswold v. Connecticut,Where was the right to privacy applied by the Supreme Court case of Griswold v. Connecticut?,0,What was applied to the states by the Supreme Court case of Griswold v. Connecticut?,1,What was the right to privacy applied to by the Supreme Court case of Griswold v. Connecticut?,0,,,,,,,,,,,,,,,,,,,
130,a monopoly is a market,with one seller,What is a market with one seller?,1,Who is a monopoly a market with?,0,What is a monopoly with one seller?,0,,,,,,,,,,,,,,,,,,,
131,international trade is of major importance for understanding,None of the above is correct,What is of major importance for understanding None of the above is correct?,0,What is international trade of for understanding None of the above is correct?,0,What is international trade of major importance for understanding?,0,,,,,,,,,,,,,,,,,,,
132,grief refers to,"the intense emotional state that follows the death of a lover, friend, or relative","What refers to the intense emotional state that follows the death of a lover, friend, or relative?",1,What does grief refer to?,1,"Does grief refer to the intense emotional state that follows the death of a lover, friend, or relative?",0,,,,,,,,,,,,,,,,,,,
133,martin Luther s posting of the Ninety-Five Theses is considered by many to be a turning point in history because,the power of the Roman Catholic Church was lessened and royal power grew,Who is considered by many to be a turning point in history because the power of the Roman Catholic Church was lessened?,0,Who is considered by many to be a turning point in history because royal power grew?,0,Is martin Luther s posting of the Ninety-Five Theses considered by many to be a turning point in history because royal power grew?,0,,,,,,,,,,,,,,,,,,,
134,if people in countries that have had persistently high inflation are skeptical of efforts to reduce inflation the short-run Phillips curve will remain far to the,"left, and the sacrifice ratio will be high",If people in countries that have had persistently high inflation are skeptical of efforts to reduce inflation where will the short-run Phillips curve remain far?,1,If people in countries that have had persistently high inflation are skeptical of efforts to reduce inflation what will remain far to the left?,1,If people in countries that have had persistently high inflation are skeptical of efforts to reduce inflation what will the short-run Phillips curve remain far to?,0,,,,,,,,,,,,,,,,,,,
135,"the societies of traditional China, Feudal Japan, and Czarist Russia were all characterized by",a rigid class structure,"What were the societies of traditional China, Feudal Japan, and Czarist Russia all characterized by?",1,What were all characterized by a rigid class structure?,0,"Were the societies of traditional China, Feudal Japan, and Czarist Russia all characterized by a rigid class structure?",0,,,,,,,,,,,,,,,,,,,
136,an immediate result of Commodore Matthew Perry s visit to Japan in 1853 was,the development of trade between Japan and the West,What does an immediate result of Commodore Matthew Perry s visit to Japan in 1853 was?,1,What does an immediate result of Commodore Matthew Perry s?,0,What s visit to Japan in 1853 was the development of trade between Japan and the West?,0,,,,,,,,,,,,,,,,,,,
137,"in psychoanalysis, an emotional attachment to the therapist that symbolically represents other important relationships is called",transference,What is an emotional attachment to the therapist that symbolically represents other important relationships called in psychoanalysis?,1,What is an emotional attachment to the therapist that symbolically represents other important relationships called transference in?,0,What is called transference in psychoanalysis?,0,,,,,,,,,,,,,,,,,,,
138,per-capita real GDP in China is about equal to per-capita real GDP in the United States in,"1870, and 1/8 that in the United States today","When is per-capita real GDP in China about equal to per-capita real GDP in the United States in 1870, and 1\/8 that in the United States?",0,"What is about equal to per-capita real GDP in the United States in 1870, and 1\/8 that in the United States today?",0,What is per-capita real GDP in China about equal to today?,1,,,,,,,,,,,,,,,,,,,
139,"on a typical issue, the primary determinant of a congressional member's vote is",personal ideology,What is personal ideology on a typical issue?,0,What is the primary determinant of a congressional member's vote personal ideology on?,1,What is the primary determinant of a congressional member's vote on a typical issue?,1,,,,,,,,,,,,,,,,,,,
140,a study of the French Revolution and the Russian Revolution of 1917 would lead to the conclusion that,control of revolutions often shifts from moderates to radicals,What would lead to the conclusion that control of revolutions often shifts from moderates to radicals?,1,What would a study of the French Revolution and the Russian Revolution of 1917 lead to the conclusion that control of revolutions often shifts from moderates to?,0,What would a study of the French Revolution and the Russian Revolution of 1917 lead to to radicals?,0,,,,,,,,,,,,,,,,,,,
141,psychologists use animals in experiments in order to,investigate problems that cannot be studied with human subjects in order to discover principles that apply to humans,Who use animals in experiments in order to investigate problems that cannot be studied with human subjects in order to discover principles that apply to humans?,0,What do psychologists use animals in to investigate problems that cannot be studied with human subjects in order to discover principles that apply to humans?,0,What do psychologists use animals in experiments in order to investigate?,0,,,,,,,,,,,,,,,,,,,
142,the Renaissance and the Protestant Reformation were similar in that both were,stimulated by a spirit of inquiry,When were similar in that both were stimulated by a spirit of inquiry?,0,Were the Renaissance and the Protestant Reformation similar in that both were stimulated by a spirit of inquiry?,0,,,,,,,,,,,,,,,,,,,,,
143,discrimination or prejudice on the basis of age is called,ageism,What is discrimination or prejudice on the basis of age called?,1,What is called ageism?,0,Is discrimination or prejudice on the basis of age called ageism?,0,,,,,,,,,,,,,,,,,,,
144,behaviorists are to the external environment as humanists are to,personal growth,Who are to the external environment as humanists are to personal growth?,1,What are behaviorists to as humanists are to personal growth?,1,Who are to personal growth?,0,,,,,,,,,,,,,,,,,,,
145,the first presidential caucus of the campaign season is traditionally held in,Iowa,Who is the first presidential caucus of the campaign season traditionally held in?,0,What is traditionally held in Iowa?,0,Is the first presidential caucus of the campaign season traditionally held in Iowa?,0,,,,,,,,,,,,,,,,,,,
146,The news does not mirror reality because,journalists must select stories that will draw the largest audience,Who must select stories that will draw the largest audience?,0,What does not mirror reality because journalists must select stories that will draw the largest audience?,0,What does the news not mirror because journalists must select stories that will draw the largest audience?,0,,,,,,,,,,,,,,,,,,,
147,"the story of Clever Hans, the mathematical horse, illustrates the use of controlled observation to test a series of",hypotheses,What does the story of Clever Hans illustrate?,1,What illustrates the use of controlled observation to test a series of hypotheses?,0,What does the story of Clever Hans illustrate the use of to test a series of hypotheses?,0,,,,,,,,,,,,,,,,,,,
148,the principal type of federal aid for states and localities is,categorical grants,What is the principal type of federal aid for states and localities?,1,What is categorical grants?,1,Is the principal type of federal aid for states and localities categorical grants?,0,,,,,,,,,,,,,,,,,,,
149,"in Europe during the Middle Ages, the force that provided unification and stability was the",Roman Catholic Church,What was the force that provided unification and stability in Europe during the Middle Ages?,1,What was the force that provided unification and stability the Roman Catholic Church in?,0,What was the Roman Catholic Church in Europe during the Middle Ages?,0,,,,,,,,,,,,,,,,,,,
150,constituencies influence policy mostly by,the initial choice of the representative,,,,,,,,,,,,,,,,,,,,,,,,,
151,the Central Intelligence Agency is required by law to report its activities to,relevant Congressional committees,What is the Central Intelligence Agency required by to report its activities to relevant Congressional committees?,0,What is required by law to report its activities to relevant Congressional committees?,0,Is the Central Intelligence Agency required by law to report its activities to relevant Congressional committees?,0,,,,,,,,,,,,,,,,,,,
152,some goods can be either common resources or public goods depending on,whether the good is rival,What can be either common resources or public goods depending on whether the good is rival?,0,Can some goods be either common resources or public goods depending on whether the good is rival?,0,,,,,,,,,,,,,,,,,,,,,
153,"after World War II, the Chinese Communists were successful in their revolution mainly because the",communists had the support of the peasants,What were successful in their revolution mainly because the communists had the support of the peasants after World War II?,0,What were the Chinese Communists successful in their revolution mainly because the communists had the support of the peasants after?,0,Who did the communists have the support of?,0,,,,,,,,,,,,,,,,,,,
154,u.S. income data from 1998 show that the bottom one-fifth of all families received,4 percent of all income,What show that the bottom one-fifth of all families received 4 percent of all income?,1,What do u. S. income data from 1998 show that the bottom one-fifth of all families received?,1,What do u. S. income data from 1998 show that the bottom one-fifth of all families received 4 percent of?,0,,,,,,,,,,,,,,,,,,,
155,a study of the accident at the Chernobyl nuclear power plant in the Soviet Union and of severe air pollution in Mexico would lead to the conclusion that,technology can cause problems throughout the world,What would lead to the conclusion that technology can cause problems throughout the world?,0,What would a study of the accident at the Chernobyl nuclear power plant in the Soviet Union and of severe air pollution in Mexico lead to?,1,,,,,,,,,,,,,,,,,,,,,
156,both the Chinese Mandate of Heaven and the Japanese belief that the Emperor descends from the Sun Goddess are similar to the,divine right theory of the French monarchy,What are both the Chinese Mandate of Heaven and the Japanese belief that the Emperor descends from the Sun Goddess similar to?,1,What are similar to the divine right theory of the French monarchy?,1,Are both the Chinese Mandate of Heaven and the Japanese belief that the Emperor descends from the Sun Goddess similar to the divine right theory of the French monarchy?,0,,,,,,,,,,,,,,,,,,,
157,spain s colonial policy of mercantilism affected the development of Latin American nations by promoting,the production of raw material and cash crops,What does spain s colonial policy of mercantilism affected by promoting the production of raw material and cash crops?,0,What does spain s affected the development of Latin American nations by promoting the production of raw material and cash crops?,0,What does spain s colonial policy of affected the development of Latin American nations by promoting the production of raw material and cash crops?,0,,,,,,,,,,,,,,,,,,,
158,markets will NOT allocate resources efficiently if,there are externalities,What will NOT allocate resources efficiently if there are externalities?,0,What will markets NOT allocate efficiently if there are externalities?,1,Will markets NOT allocate resources efficiently if there are externalities?,0,,,,,,,,,,,,,,,,,,,
159,psychologists who believe that people grow and develop throughout their lives and that people are inherently good are,humanists,Who are psychologists who believe that people grow and develop throughout their lives and that people are inherently good?,1,Are psychologists who believe that people grow and develop throughout their lives and that people are inherently good humanists?,0,Who are humanists?,1,,,,,,,,,,,,,,,,,,,
160,Which stage of the typical consumer product life cycle is out of order below?,maturity,,,,,,,,,,,,,,,,,,,,,,,,,
161,the kind of memory that lasts for only a second or two is,sensory memory,What is the kind of memory that lasts for only a second or two?,1,What is sensory memory?,1,Is the kind of memory that lasts for only a second or two sensory memory?,0,,,,,,,,,,,,,,,,,,,
162,"from the perspective of Erik Erikson, life stages are important because",each involves a crisis or dilemma,When are important because each involves a crisis or dilemma from the perspective of Erik Erikson?,0,What are life stages important because each involves a crisis or dilemma from?,0,Are life stages important because each involves a crisis or dilemma from the perspective of Erik Erikson?,0,,,,,,,,,,,,,,,,,,,
163,a similarity of the rule of the ancient Mongols and the ancient Greeks is that both,established vast empires and spread their cultures to the people they conquered,What is that both established vast empires and spread their cultures to the people they conquered?,0,What is a similarity of the rule of the ancient Mongols and the ancient Greeks to?,1,Is a similarity of the rule of the ancient Mongols and the ancient Greeks that both established vast empires and spread their cultures to the people they conquered?,0,,,,,,,,,,,,,,,,,,,
164,suppose that the United States imposes an import quota on furniture. The quota makes the real exchange rate of U.S. dollars,appreciate but does not change the real interest rate in the United States,What makes the real exchange rate of U. S. dollars appreciate?,0,Where does the quota not change the real interest rate?,0,What does not change the real interest rate in the United States?,0,,,,,,,,,,,,,,,,,,,
165,a study of Japan s economy since World War II would lead to the conclusion that,a. government support of technological advances can improve a nation s economic position,What s economy since World War II would lead to the conclusion that a. government support of technological advances can improve a nation s economic position?,0,What does a study of Japan s?,0,What does a study of Japan s s economic position?,0,,,,,,,,,,,,,,,,,,,
166,"concerning pure extroversion and pure introversion, it is most accurate to say",most people fall somewhere between these extremes,What is it most accurate to say most people fall somewhere between these extremes?,0,What is most accurate to say most people fall somewhere between these extremes concerning pure extroversion and pure introversion?,0,Is it most accurate to say most people fall somewhere between these extremes concerning pure extroversion and pure introversion?,0,,,,,,,,,,,,,,,,,,,
167,"During India\'s early history, Indian social and family life centered on the?",village,What centered on the during India's early history?,0,What did indian social and family life center on during India's early history?,1,When did indian social and family life center on the?,0,,,,,,,,,,,,,,,,,,,
168,one similarity between the decline of the Roman Empire and the fall of the Manchu Dynasty was that both initially led to,political chaos and decentralization of government,What was that both initially led to political chaos and decentralization of government?,0,What was one similarity between the decline of the Roman Empire and the fall of the Manchu Dynasty that both initially led to?,1,What was one similarity between the decline of the Roman Empire and the fall of the Manchu Dynasty to?,0,,,,,,,,,,,,,,,,,,,
169,"To identify the location of a place, you would most likely describe its?",latitude and longitude,Who would most likely describe its?,0,What would you most likely describe?,0,Would you most likely describe its?,0,,,,,,,,,,,,,,,,,,,
170,"europe is waking out of a long, deep sleep time was when learning was only found in the religious orders learning has passed to secular princes and peers",Renaissance,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Hundreds, if not thousands, of studies by political scientists have concluded that voters",vote for the candidate who will benefit the voter's financial condition the most,,,,,,,,,,,,,,,,,,,,,,,,,
172,"at Paula’s Pizza, the marginal revenue of the last pizza produced is $12. The marginal cost of the last pizza produced is $10. In order to increase profits, Paula should",increase output,Whose Pizza is the marginal revenue of the last pizza produced $12 at?,0,What is $12 at Paula's Pizza?,0,What is the marginal revenue of the last pizza produced at Paula's Pizza?,0,,,,,,,,,,,,,,,,,,,
173,Marketing stimuli consist of the four Ps. Which is NOT one of these?,politics,What do Marketing stimuli consist of?,0,What consist of the four Ps?,0,What is which NOT one of?,0,,,,,,,,,,,,,,,,,,,
174,brain mechanisms involved in hunger and thirst would most likely be studied by a,biopsychologist,Who would brain mechanisms involved in hunger and thirst most likely be studied by?,1,What would most likely be studied by a biopsychologist?,1,Would brain mechanisms involved in hunger and thirst most likely be studied by a biopsychologist?,0,,,,,,,,,,,,,,,,,,,
175,"Consider the following two sentences. If the Fed is bound by a rule to decrease the money supply when prices increase, then when aggregate supply shifts left, their actions will reduce output further. Paul Volcker’s monetary policy in 1979 caused a rise in Jimmy Carter’s popularity",Only the first sentence is correct,If the Fed is bound by a rule to decrease the money supply when prices increase what will aggregate supply shifts's actions reduce further?,0,If the Fed is bound by a rule to decrease the money supply when prices increase what will reduce output further?,0,If the Fed is bound by a rule to decrease the money supply when prices increase will aggregate supply shifts's actions reduce output further?,0,,,,,,,,,,,,,,,,,,,
176,"after World War II, the conflict between Hindus and Muslims in India resulted in the",creation of the Muslim state of Pakistan,What did the conflict between Hindus and Muslims in India result in after World War II?,1,What resulted in the creation of the Muslim state of Pakistan after World War II?,1,What did the conflict between Hindus and Muslims in India result in the creation of the Muslim state of Pakistan after?,0,,,,,,,,,,,,,,,,,,,
177,diplomacy refers to,formal and informal communications with representatives of other governments,What refers to formal and informal communications with representatives of other governments?,1,What does diplomacy refer to?,1,Does diplomacy refer to formal and informal communications with representatives of other governments?,0,,,,,,,,,,,,,,,,,,,
178,"the term ""cognition"" includes","thinking, problem solving, reasoning, and dreaming","What is problem solving, reasoning, and dreaming?",0,What is thinking?,0,"Is thinking problem solving, reasoning, and dreaming?",0,,,,,,,,,,,,,,,,,,,
179,"at the end of the Revolutionary War,",a postwar depression severely hurt small farmers and many others,Where did a postwar depression severely hurt small farmers and many others?,1,What severely hurt small farmers and many others at the end of the Revolutionary War?,1,Who did a postwar depression severely hurt at the end of the Revolutionary War?,1,,,,,,,,,,,,,,,,,,,
180,"Carson recently lost his job and has a great debt accumulated from gambling. He also has been feeling extreme pressure about not being able to take care of his eight children. After having too much to drink, Carson ran over a child crossing the street. Immediately following this episode, Carson could not remember who he was. This example illustrates",dissociative amnesia,Who did Carson run over crossing the street?,0,Who ran over a child crossing the street?,0,What did Carson run over a child crossing?,0,,,,,,,,,,,,,,,,,,,
181,agnosia may sometimes be helped by,cues of touch,What may sometimes be helped by cues of touch?,1,What may agnosia sometimes be helped by?,1,May agnosia sometimes be helped by cues of touch?,0,,,,,,,,,,,,,,,,,,,
182,the main determinant of the price elasticity of supply is,time,When is the main determinant of the price elasticity of supply?,1,What is time?,0,Is the main determinant of the price elasticity of supply time?,0,,,,,,,,,,,,,,,,,,,
183,"since the end of World War II, military rearmament in Japan has been limited by",specific restrictions in Japan s constitution,What has military rearmament in Japan been limited by specific restrictions in Japan s constitution since?,0,What has been limited by specific restrictions in Japan s constitution since the end of World War II?,1,What has military rearmament in Japan been limited by since the end of World War II?,0,,,,,,,,,,,,,,,,,,,
184,most news coverage is perhaps best described as,superficial,What is perhaps best described as superficial?,0,Is most news coverage perhaps best described as superficial?,0,,,,,,,,,,,,,,,,,,,,,
185,harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of,contact comfort,What does harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrate?,1,What does harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrate the importance of?,0,What demonstrates the importance of contact comfort?,0,,,,,,,,,,,,,,,,,,,
186,"to investigate the effects of a particular study method on student performance, two different methods are tried, each with a different group of subjects. If only the experimenter knows which method is under investigation, the procedure being used is described as",single-blind,"If only the experimenter knows which method is under investigation, what is described as single-blind?",0,How many different methods are tried?,0,"If only the experimenter knows under, what is the procedure being used described as single-blind?",0,,,,,,,,,,,,,,,,,,,
187,news coverage of presidents and their activities,is not systematically biased in any direction,What is not systematically biased in any direction?,0,Where is news coverage of presidents and their activities not systematically biased?,0,What is news coverage of presidents and their activities not systematically biased in?,0,,,,,,,,,,,,,,,,,,,
188,environmental groups have been most successful at,thwarting the expansion of the nuclear power industry,What have been most successful at thwarting the expansion of the nuclear power industry?,1,Have environmental groups been most successful at thwarting the expansion of the nuclear power industry?,0,,,,,,,,,,,,,,,,,,,,,
189,the multiplier effect is the multiplied impact on,aggregate demand of a given increase in government purchases,What is the multiplied impact on aggregate demand of a given increase in government purchases?,0,What is the multiplier effect?,0,Is the multiplier effect the multiplied impact on aggregate demand of a given increase in government purchases?,0,,,,,,,,,,,,,,,,,,,
190,a primary purpose for building the Suez Canal was to,"increase trade between the Middle East, Europe and Asia",What was to increase trade between the Middle East?,0,What was Europe and Asia?,0,What was the Middle East?,0,,,,,,,,,,,,,,,,,,,
191,rebellion in the Congo during the 1960 s  --Civil war in Nigeria from 1967 to 1970,ethnic rivalries,,,,,,,,,,,,,,,,,,,,,,,,,
192,"According to the figure, which of the lines is most likely to represent average total cost?",C,,,,,,,,,,,,,,,,,,,,,,,,,
193,"typically, countries in Africa",have high tax rates,What do countries in Africa have?,1,What have high tax rates?,0,Do countries in Africa have high tax rates?,0,,,,,,,,,,,,,,,,,,,
194,"following the 1964 election,",public trust in government dropped significantly,What did public trust in government drop significantly?,0,What dropped significantly following the 1964 election?,1,Did public trust in government drop significantly following the 1964 election?,0,,,,,,,,,,,,,,,,,,,
195,one reason the Fascist governments of Benito Mussolini and Adolf Hitler came to power in Italy,faced economic and political difficulties,What did one reason the Fascist governments of Benito Mussolini and Adolf Hitler came to power in Italy face?,1,What faced economic and political difficulties?,0,Did one reason the Fascist governments of Benito Mussolini and Adolf Hitler came to power in Italy face economic and political difficulties?,0,,,,,,,,,,,,,,,,,,,
196,Which generalization about geography of Latin America is accurate?,great variations in latitude and landforms resulted in a diversity of climates,What did great variations in latitude and landforms result in?,0,What resulted in a diversity of climates?,0,Did great variations in latitude and landforms result in a diversity of climates?,0,,,,,,,,,,,,,,,,,,,
197,"in some cases, pollution permits may be better than a Pigovian tax because",the government can set a maximum level of pollution using permits,What may pollution permits be better than because the government can set a maximum level of pollution using permits in some cases?,0,What may be better than a Pigovian tax because the government can set a maximum level of pollution using permits in some cases?,0,What may pollution permits be better than a Pigovian tax because the government can set a maximum level of pollution using permits in?,0,,,,,,,,,,,,,,,,,,,
198,suppose an economy with high inflation decides to decrease the money supply growth rate,"the current rate of unemployment rises, but there is no change in the natural rate of unemployment",,,,,,,,,,,,,,,,,,,,,,,,,
199,"in Eastern Europe during the 1950 s and 1960 s, the Soviet Union responded to challenges to its control by",imposing prompt and severe repression,What responded to challenges to its control by imposing prompt and severe repression?,0,What did the Soviet Union respond to by imposing prompt and severe repression?,1,Did the Soviet Union respond to challenges to its control by imposing prompt and severe repression?,0,,,,,,,,,,,,,,,,,,,
200,"a child who is just starting school, trying to learn good habits and to do well, is in Erikson's stage of development called",industry versus inferiority,Whose stage of development is a child who is just starting school in called industry versus inferiority?,0,What is a child who is just starting school in Erikson's stage of development called?,1,When is a child who is just starting school called industry versus inferiority?,0,,,,,,,,,,,,,,,,,,,
201,What is one of the primary goals of reminder advertising?,maintain customer relationships,,,,,,,,,,,,,,,,,,,,,,,,,
202,the weakening of party control over American politics,is in part due to the increasing influence of the media,What is the weakening of party control over American politics in?,0,What is in part due to the increasing influence of the media?,0,Is the weakening of party control over American politics in part due to the increasing influence of the media?,0,,,,,,,,,,,,,,,,,,,
203,m2 is,larger but less liquid than M1,What is larger but less liquid than M1?,0,Is m2 larger but less liquid than M1?,0,,,,,,,,,,,,,,,,,,,,,
204,a neutral stimulus is one that,does not evoke the UR,What is one that does not evoke the UR?,1,What is a neutral stimulus?,1,Is a neutral stimulus one that does not evoke the UR?,0,,,,,,,,,,,,,,,,,,,
205,"When a person of limited intelligence shows exceptional abilities in art, music, mental arithmetic, or calendar calculations, it is called",savant syndrome,"Who shows exceptional abilities in art, music, or calendar calculations?",0,What does a person of limited intelligence show?,0,What is called savant syndrome?,1,,,,,,,,,,,,,,,,,,,
206,"When wage differentials are observed in competitive labor markets, the neoclassical theory of labor markets would predict",a difference in the value of marginal product of labor,What would the neoclassical theory of labor markets predict?,0,What would predict a difference in the value of marginal product of labor?,0,What are observed in competitive labor markets?,0,,,,,,,,,,,,,,,,,,,
207,One of the results of the Treaty of Nanjing of 1842 was that?,China gave Hong Kong to the British,Who did China give Hong Kong to?,1,What gave Hong Kong to the British?,0,What did China give to the British?,0,,,,,,,,,,,,,,,,,,,
208,the main course of the Arab-Israeli conflicts from 1948 to 1973 was the clash between,Arab nationalism and Jewish nationalism,What was the main course of the Arab-Israeli conflicts from 1948 to 1973?,1,What was the clash between Arab nationalism and Jewish nationalism?,0,Was the main course of the Arab-Israeli conflicts from 1948 to 1973 the clash between Arab nationalism and Jewish nationalism?,0,,,,,,,,,,,,,,,,,,,
209,"to shape the behavior of their students, teachers employ",secondary reinforcers,Who employ secondary reinforcers?,0,What do teachers employ?,0,Do teachers employ secondary reinforcers?,0,,,,,,,,,,,,,,,,,,,
210,"if you slow down every time you see a police car, your slowing down is probably due to",negative reinforcement,"If you slow down every time you see a police car, what is probably due to negative reinforcement?",0,"If you slow down every time you see a police car, what is your slowing down probably due to?",1,"If you slow down every time you see a police car, is your slowing down probably due to negative reinforcement?",0,,,,,,,,,,,,,,,,,,,
211,The colonial capital of African colonies usually became the capital of an independent African nation because?,all of these choices are correct,What usually became the capital of an independent African nation because?,0,What did the colonial capital of African colonies usually become because?,0,What did the colonial capital of African colonies usually become the capital of because?,0,,,,,,,,,,,,,,,,,,,
212,an analysis of the Russo-Japanese War and the Boer War shows that one reason nations go to war is to,satisfy imperialist goals,What shows that one reason nations go to war is to satisfy imperialist goals?,0,What does an analysis of the Russo-Japanese War and the Boer War show?,1,Does an analysis of the Russo-Japanese War and the Boer War show that one reason nations go to war is to satisfy imperialist goals?,0,,,,,,,,,,,,,,,,,,,
