,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
139,"on a typical issue, the primary determinant of a congressional member's vote is",personal ideology,"on a typical issue, the primary determinant of a congressional member's vote is",personal ideology,"on a typical issue, what is the primary determinant of a congressional member 's vote?",,,RULE BASED,1,0,0
140,a study of the French Revolution and the Russian Revolution of 1917 would lead to the conclusion that,control of revolutions often shifts from moderates to radicals,a study of the French Revolution and the Russian Revolution of 1917 would lead to the conclusion that,control of revolutions often shifts from moderates to radicals,Which was a major result of the Russian Revolution of 1917?,What was the impact of Russian Revolution on Russia?,What was the cause and effect of the Russian Revolution in 1917?,,1,0,0
141,psychologists use animals in experiments in order to,investigate problems that cannot be studied with human subjects in order to discover principles that apply to humans,psychologists use animals in experiments in order to,investigate problems that cannot be studied with human subjects in order to discover principles that apply to humans,,,,RULE BASED,0,0,0
142,the Renaissance and the Protestant Reformation were similar in that both were,stimulated by a spirit of inquiry,the Renaissance and the Protestant Reformation were similar in that both were,stimulated by a spirit of inquiry,What were the Renaissance and the Protestant Reformation were similar in that both?,,,RULE BASED,0,1,0
143,discrimination or prejudice on the basis of age is called,ageism,discrimination or prejudice on the basis of age is called,ageism,What is discrimination or prejudice on the basis of age called?,,,RULE BASED,1,1,0
144,behaviorists are to the external environment as humanists are to,personal growth,behaviorists are to the external environment as humanists are to,personal growth,,,,RULE BASED,0,0,0
145,the first presidential caucus of the campaign season is traditionally held in,Iowa,the first presidential caucus of the campaign season is traditionally held in,Iowa,Where is the first presidential caucus of the campaign season traditionally held?,,,RULE BASED,1,0,0
146,The news does not mirror reality because,journalists must select stories that will draw the largest audience,The news does not mirror reality because,journalists must select stories that will draw the largest audience,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
147,"the story of Clever Hans, the mathematical horse, illustrates the use of controlled observation to test a series of",hypotheses,"the story of Clever Hans, the mathematical horse, illustrates the use of controlled observation to test a series of",hypotheses,What does Clever Hans test with controlled observation?,,,,0,,
148,the principal type of federal aid for states and localities is,categorical grants,the principal type of federal aid for states and localities is,categorical grants,What is the principal type of federal aid for states and localities?,,,RULE BASED,1,1,0
149,"in Europe during the Middle Ages, the force that provided unification and stability was the",Roman Catholic Church,"in Europe during the Middle Ages, the force that provided unification and stability was the",Roman Catholic Church,"in Europe during the Middle AgesWhat was , the force that provided unification and stability ?",,,RULE BASED,1,0,0
150,constituencies influence policy mostly by,the initial choice of the representative,constituencies influence policy mostly by,the initial choice of the representative,Howconstituencies influence policy?,,,RULE BASED,0,1,0
151,the Central Intelligence Agency is required by law to report its activities to,relevant Congressional committees,the Central Intelligence Agency is required by law to report its activities to,relevant Congressional committees,,,,RULE BASED,0,0,0
152,some goods can be either common resources or public goods depending on,whether the good is rival,some goods can be either common resources or public goods depending on,whether the good is rival,,,,RULE BASED,0,0,0
153,"after World War II, the Chinese Communists were successful in their revolution mainly because the",communists had the support of the peasants,"after World War II, the Chinese Communists were successful in their revolution mainly because the",communists had the support of the peasants,"after World War IIWhat were , the Chinese Communists successful in their revolution mainly?",,,RULE BASED,1,0,0
154,u.S. income data from 1998 show that the bottom one-fifth of all families received,4 percent of all income,u.S. income data from 1998 show that the bottom one-fifth of all families received,4 percent of all income,What percentage of income did the bottom one-fifth of all families receive?,What is the top 5 percent income in the US?,What is the bottom 20 Income?,,1,1,0
155,a study of the accident at the Chernobyl nuclear power plant in the Soviet Union and of severe air pollution in Mexico would lead to the conclusion that,technology can cause problems throughout the world,a study of the accident at the Chernobyl nuclear power plant in the Soviet Union and of severe air pollution in Mexico would lead to the conclusion that,technology can cause problems throughout the world,Why did Chernobyl Fail into science and technology?,What did the accident at the nuclear power plant in Chernobyl in 1986 demonstrate?,What can technology cause problems around the world?,,1,1,0
156,both the Chinese Mandate of Heaven and the Japanese belief that the Emperor descends from the Sun Goddess are similar to the,divine right theory of the French monarchy,both the Chinese Mandate of Heaven and the Japanese belief that the Emperor descends from the Sun Goddess are similar to the,divine right theory of the French monarchy,What are both the Chinese Mandate of Heaven and the Japanese belief that the Emperor descends from the Sun Goddess similar?,,,RULE BASED,1,0,0
157,spain s colonial policy of mercantilism affected the development of Latin American nations by promoting,the production of raw material and cash crops,spain s colonial policy of mercantilism affected the development of Latin American nations by promoting,the production of raw material and cash crops,What was a characteristic of the policy of mercantilism followed by Spanish colonial rulers in Latin America?,Which was a characteristic of the policy of mercantilism followed by Spanish colonial rulers in Latin America?,Which was a characteristic of the policy of mercantilism followed by the Spanish colonial rulers in Latin America?,,1,1,1
158,markets will NOT allocate resources efficiently if,there are externalities,markets will NOT allocate resources efficiently if,there are externalities,Why will markets not allocate resources efficiently?,Why do markets fail to allocate resources efficiently?,How do markets allocate resources efficiently?,,1,1,0
159,psychologists who believe that people grow and develop throughout their lives and that people are inherently good are,humanists,psychologists who believe that people grow and develop throughout their lives and that people are inherently good are,humanists,What are psychologists who believe that people grow and develop throughout their lives and that people are inherently good?,,,RULE BASED,1,0,0
160,Which stage of the typical consumer product life cycle is out of order below?,maturity,Which stage of the typical consumer product life cycle is out of order below?,maturity,Which stage of the typical consumer product life cycle is out of order below?,,,,1,,
161,the kind of memory that lasts for only a second or two is,sensory memory,the kind of memory that lasts for only a second or two is,sensory memory,What is the kind of memory that lasts for only a second or two?,,,RULE BASED,0,0,1
162,"from the perspective of Erik Erikson, life stages are important because",each involves a crisis or dilemma,"from the perspective of Erik Erikson, life stages are important because",each involves a crisis or dilemma,"from the perspective of Erik Erikson , why life stages are important?",,,RULE BASED,1,0,0
163,a similarity of the rule of the ancient Mongols and the ancient Greeks is that both,established vast empires and spread their cultures to the people they conquered,a similarity of the rule of the ancient Mongols and the ancient Greeks is that both,established vast empires and spread their cultures to the people they conquered,In what way was the rule of ancient Mongols similar to the rule of ancient Greeks?,What did the Mongols and the Greeks do?,How are the Greek and Roman empires connected?,,1,0,0
164,suppose that the United States imposes an import quota on furniture. The quota makes the real exchange rate of U.S. dollars,appreciate but does not change the real interest rate in the United States,suppose that the United States imposes an import quota on furniture. The quota makes the real exchange rate of U.S. dollars,appreciate but does not change the real interest rate in the United States,What does the import quota do?,,,,0,,
165,a study of Japan s economy since World War II would lead to the conclusion that,a. government support of technological advances can improve a nation s economic position,a study of Japan s economy since World War II would lead to the conclusion that,a. government support of technological advances can improve a nation s economic position,What factors led to Japan's economic success?,How did Japan's situation after World War 2 help its economy recover faster than Germany's economy?,What can improve a nation s economic position?,,1,1,0
166,"concerning pure extroversion and pure introversion, it is most accurate to say",most people fall somewhere between these extremes,"concerning pure extroversion and pure introversion, it is most accurate to say",most people fall somewhere between these extremes,Are there more introverts or extroverts?,What is an introvert and extrovert person?,What is introversion personality?,,1,0,0
167,"During India\'s early history, Indian social and family life centered on the?",village,"During India\'s early history, Indian social and family life centered on the?",village,"During India\'s early history, Indian social and family life centered on the?",,,,1,,
168,one similarity between the decline of the Roman Empire and the fall of the Manchu Dynasty was that both initially led to,political chaos and decentralization of government,one similarity between the decline of the Roman Empire and the fall of the Manchu Dynasty was that both initially led to,political chaos and decentralization of government,,,,RULE BASED,0,0,0
169,"To identify the location of a place, you would most likely describe its?",latitude and longitude,"To identify the location of a place, you would most likely describe its?",latitude and longitude,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
170,"europe is waking out of a long, deep sleep time was when learning was only found in the religious orders learning has passed to secular princes and peers",Renaissance,"europe is waking out of a long, deep sleep time was when learning was only found in the religious orders learning has passed to secular princes and peers",Renaissance,During what era was learning found only in religious orders?,What was a major characteristic of the Renaissance in Europe quizlet?,Which was a major characteristic of the Renaissance in Europe?,,0,1,1
171,"Hundreds, if not thousands, of studies by political scientists have concluded that voters",vote for the candidate who will benefit the voter's financial condition the most,"Hundreds, if not thousands, of studies by political scientists have concluded that voters",vote for the candidate who will benefit the voter's financial condition the most,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
172,"at Paula’s Pizza, the marginal revenue of the last pizza produced is $12. The marginal cost of the last pizza produced is $10. In order to increase profits, Paula should",increase output,"at Paula’s Pizza, the marginal revenue of the last pizza produced is $12. The marginal cost of the last pizza produced is $10. In order to increase profits, Paula should",increase output,What should Paula do to increase profits?,,,,1,,
173,Marketing stimuli consist of the four Ps. Which is NOT one of these?,politics,Marketing stimuli consist of the four Ps. Which is NOT one of these?,politics,Marketing stimuli consist of the four Ps. Which is NOT one of these?,,,,1,,
174,brain mechanisms involved in hunger and thirst would most likely be studied by a,biopsychologist,brain mechanisms involved in hunger and thirst would most likely be studied by a,biopsychologist,How brain mechanisms involved in hunger and thirst would most likely be studied?,,,RULE BASED,1,0,0
175,"Consider the following two sentences. If the Fed is bound by a rule to decrease the money supply when prices increase, then when aggregate supply shifts left, their actions will reduce output further. Paul Volcker’s monetary policy in 1979 caused a rise in Jimmy Carter’s popularity",Only the first sentence is correct,"Consider the following two sentences. If the Fed is bound by a rule to decrease the money supply when prices increase, then when aggregate supply shifts left, their actions will reduce output further. Paul Volcker’s monetary policy in 1979 caused a rise in Jimmy Carter’s popularity",Only the first sentence is correct,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
176,"after World War II, the conflict between Hindus and Muslims in India resulted in the",creation of the Muslim state of Pakistan,"after World War II, the conflict between Hindus and Muslims in India resulted in the",creation of the Muslim state of Pakistan,"after World War II Where did , the conflict between Hindus and Muslims in India result?",,,RULE BASED,1,0,0
177,diplomacy refers to,formal and informal communications with representatives of other governments,diplomacy refers to,formal and informal communications with representatives of other governments,,,,RULE BASED,0,0,0
178,"the term ""cognition"" includes","thinking, problem solving, reasoning, and dreaming","the term ""cognition"" includes","thinking, problem solving, reasoning, and dreaming",What is the best description of the term cognition?,"Thinking, problem solving, reasoning, and dreaming are examples of what?",What is cognition in simple terms?,,1,1,1
179,"at the end of the Revolutionary War,",a postwar depression severely hurt small farmers and many others,"at the end of the Revolutionary War,",a postwar depression severely hurt small farmers and many others,What caused the depression after the Revolutionary War?,What happened after the Revolutionary War?,What was the primary goal of the American Revolution?,,1,1,0
180,"Carson recently lost his job and has a great debt accumulated from gambling. He also has been feeling extreme pressure about not being able to take care of his eight children. After having too much to drink, Carson ran over a child crossing the street. Immediately following this episode, Carson could not remember who he was. This example illustrates",dissociative amnesia,"Carson recently lost his job and has a great debt accumulated from gambling. He also has been feeling extreme pressure about not being able to take care of his eight children. After having too much to drink, Carson ran over a child crossing the street. Immediately following this episode, Carson could not remember who he was. This example illustrates",dissociative amnesia,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
181,agnosia may sometimes be helped by,cues of touch,agnosia may sometimes be helped by,cues of touch,How agnosia may sometimes be helped?,,,RULE BASED,1,0,0
182,the main determinant of the price elasticity of supply is,time,the main determinant of the price elasticity of supply is,time,What is the main determinant of the price elasticity of supply?,,,RULE BASED,1,1,0
183,"since the end of World War II, military rearmament in Japan has been limited by",specific restrictions in Japan s constitution,"since the end of World War II, military rearmament in Japan has been limited by",specific restrictions in Japan s constitution,How military rearmament in Japan has limited since the end of World War II?,,,RULE BASED,1,0,0
184,most news coverage is perhaps best described as,superficial,most news coverage is perhaps best described as,superficial,What does most news coverage is perhaps best described as?,,,RULE BASED,1,0,0
185,harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of,contact comfort,harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of,contact comfort,Why do you think the baby monkeys preferred the cloth mom to the wire one?,What do monkeys prefer a surrogate mother for?,Why did Harry Harlow's baby monkeys prefer the cloth monkey over the wire monkey with food quizlet?,,1,1,1
186,"to investigate the effects of a particular study method on student performance, two different methods are tried, each with a different group of subjects. If only the experimenter knows which method is under investigation, the procedure being used is described as",single-blind,"to investigate the effects of a particular study method on student performance, two different methods are tried, each with a different group of subjects. If only the experimenter knows which method is under investigation, the procedure being used is described as",single-blind,"to investigate the effects of a particular study method on student performance , two different methods are tried , each with a different group of subjects . If only the experimenter knows which method is under investigation , what does the procedure being used is described as?",,,RULE BASED,1,0,0
187,news coverage of presidents and their activities,is not systematically biased in any direction,news coverage of presidents and their activities,is not systematically biased in any direction,Is the coverage of presidents biased or biased?,,,,0,,
188,environmental groups have been most successful at,thwarting the expansion of the nuclear power industry,environmental groups have been most successful at,thwarting the expansion of the nuclear power industry,Where environmental groups have been most successful?,,,RULE BASED,0,1,0
189,the multiplier effect is the multiplied impact on,aggregate demand of a given increase in government purchases,the multiplier effect is the multiplied impact on,aggregate demand of a given increase in government purchases,,,,RULE BASED,0,0,0
190,a primary purpose for building the Suez Canal was to,"increase trade between the Middle East, Europe and Asia",a primary purpose for building the Suez Canal was to,"increase trade between the Middle East, Europe and Asia",,,,RULE BASED,0,0,0
191,rebellion in the Congo during the 1960 s  --Civil war in Nigeria from 1967 to 1970,ethnic rivalries,rebellion in the Congo during the 1960 s  --Civil war in Nigeria from 1967 to 1970,ethnic rivalries,What caused the Congo civil war?,What was the cause of the Congo civil war?,What happened in the Congo in 1960?,,1,1,1
192,"According to the figure, which of the lines is most likely to represent average total cost?",C,"According to the figure, which of the lines is most likely to represent average total cost?",C,"According to the figure, which of the lines is most likely to represent average total cost?",,,,1,,
193,"typically, countries in Africa",have high tax rates,"typically, countries in Africa",have high tax rates,What type of tax rates do African countries typically have?,Which country has the highest tax rate in Africa?,Do they pay taxes in Africa?,,1,1,0
194,"following the 1964 election,",public trust in government dropped significantly,"following the 1964 election,",public trust in government dropped significantly,What happened to public trust in government in 1964?,What was the result of the 1964 election quizlet?,What was the result of the 1964 presidential election quizlet?,,1,1,1
195,one reason the Fascist governments of Benito Mussolini and Adolf Hitler came to power in Italy,faced economic and political difficulties,one reason the Fascist governments of Benito Mussolini and Adolf Hitler came to power in Italy,faced economic and political difficulties,Why did the Fascist governments come to power in Italy?,What type of government did Mussolini set up in Italy?,What were the causes of fascism in Italy?,,1,0,1
196,Which generalization about geography of Latin America is accurate?,great variations in latitude and landforms resulted in a diversity of climates,Which generalization about geography of Latin America is accurate?,great variations in latitude and landforms resulted in a diversity of climates,Which generalization about geography of Latin America is accurate?,,,,1,,
197,"in some cases, pollution permits may be better than a Pigovian tax because",the government can set a maximum level of pollution using permits,"in some cases, pollution permits may be better than a Pigovian tax because",the government can set a maximum level of pollution using permits,"in some cases , why pollution permits may be better than a Pigovian tax?",,,RULE BASED,1,0,0
198,suppose an economy with high inflation decides to decrease the money supply growth rate,"the current rate of unemployment rises, but there is no change in the natural rate of unemployment",suppose an economy with high inflation decides to decrease the money supply growth rate,"the current rate of unemployment rises, but there is no change in the natural rate of unemployment",How does money supply affect inflation?,What happens if the Fed reduces the money supply?,Does the natural rate of unemployment change?,,1,1,0
199,"in Eastern Europe during the 1950 s and 1960 s, the Soviet Union responded to challenges to its control by",imposing prompt and severe repression,"in Eastern Europe during the 1950 s and 1960 s, the Soviet Union responded to challenges to its control by",imposing prompt and severe repression,"Howin Eastern Europe during the 1950 s and 1960 s , the Soviet Union responded to challenges to its?",,,RULE BASED,1,0,0
200,"a child who is just starting school, trying to learn good habits and to do well, is in Erikson's stage of development called",industry versus inferiority,"a child who is just starting school, trying to learn good habits and to do well, is in Erikson's stage of development called",industry versus inferiority,,,,RULE BASED,0,0,0
201,What is one of the primary goals of reminder advertising?,maintain customer relationships,What is one of the primary goals of reminder advertising?,maintain customer relationships,What is one of the primary goals of reminder advertising?,,,,1,,
202,the weakening of party control over American politics,is in part due to the increasing influence of the media,the weakening of party control over American politics,is in part due to the increasing influence of the media,What is the reason for the weakening of party control in American politics?,Why have political parties weakened quizlet?,What is political party decline?,,1,1,0
203,m2 is,larger but less liquid than M1,m2 is,larger but less liquid than M1,What is m2?,,,RULE BASED,0,0,0
204,a neutral stimulus is one that,does not evoke the UR,a neutral stimulus is one that,does not evoke the UR,Does a neutral stimulus evoke the UR?,What is a neutral stimulus quizlet?,Does a neutral stimulus causes no response?,,1,1,1
205,"When a person of limited intelligence shows exceptional abilities in art, music, mental arithmetic, or calendar calculations, it is called",savant syndrome,"When a person of limited intelligence shows exceptional abilities in art, music, mental arithmetic, or calendar calculations, it is called",savant syndrome,"when a person of limited intelligence shows exceptional abilities in art , music , mental arithmetic , or calendar calculations , what is called?",,,RULE BASED,0,0,0
206,"When wage differentials are observed in competitive labor markets, the neoclassical theory of labor markets would predict",a difference in the value of marginal product of labor,"When wage differentials are observed in competitive labor markets, the neoclassical theory of labor markets would predict",a difference in the value of marginal product of labor,"When wage differentials are observed in competitive labor markets, the neoclassical theory of labor markets would predict",,,,1,,
207,One of the results of the Treaty of Nanjing of 1842 was that?,China gave Hong Kong to the British,One of the results of the Treaty of Nanjing of 1842 was that?,China gave Hong Kong to the British,One of the results of the Treaty of Nanjing of 1842 was that?,,,,1,,
208,the main course of the Arab-Israeli conflicts from 1948 to 1973 was the clash between,Arab nationalism and Jewish nationalism,the main course of the Arab-Israeli conflicts from 1948 to 1973 was the clash between,Arab nationalism and Jewish nationalism,What was the main course of the Arab-Israeli conflicts between 1948 and 1973?,What was the main cause of the Arab-Israeli conflicts from 1948 to 1973 was the clash between?,What is the main cause of the Arab-Israeli conflicts from 1948 to 1973?,,1,1,1
209,"to shape the behavior of their students, teachers employ",secondary reinforcers,"to shape the behavior of their students, teachers employ",secondary reinforcers,What are secondary reinforcers?,What is a secondary reinforcer in operant conditioning?,What's a secondary reinforcer?,,1,1,1
210,"if you slow down every time you see a police car, your slowing down is probably due to",negative reinforcement,"if you slow down every time you see a police car, your slowing down is probably due to",negative reinforcement,"if you slow down every time you see a police car , why is your slowing down probably?",,,RULE BASED,1,0,0
211,The colonial capital of African colonies usually became the capital of an independent African nation because?,all of these choices are correct,The colonial capital of African colonies usually became the capital of an independent African nation because?,all of these choices are correct,The colonial capital of African colonies usually became the capital of an independent African nation because?,,,,1,,
212,an analysis of the Russo-Japanese War and the Boer War shows that one reason nations go to war is to,satisfy imperialist goals,an analysis of the Russo-Japanese War and the Boer War shows that one reason nations go to war is to,satisfy imperialist goals,,,,RULE BASED,0,0,0
213,"a psychosis arising from an advanced stage of syphilis, in which the disease attacks brain cells, is called",general paresis,"a psychosis arising from an advanced stage of syphilis, in which the disease attacks brain cells, is called",general paresis,"a psychosis arising from an advanced stage of syphilis , in which the disease attacks brain cells , what is called?",,,RULE BASED,1,0,0
214,"in addition to providing water for Indian agriculture, the Ganges River remains important to India because it is",a sacred river for the Hindu population,"in addition to providing water for Indian agriculture, the Ganges River remains important to India because it is",a sacred river for the Hindu population,"in addition to providing water for Indian agriculture, what is the Ganges River remains important to India because it?",,,RULE BASED,1,0,0
215,A social reform of the Meiji Restoration was to?,make everyone equal before the law,A social reform of the Meiji Restoration was to?,make everyone equal before the law,A social reform of the Meiji Restoration was to?,,,,1,,
216,one result of the Neolithic Revolution was,the establishment of villages and the rise of governments,one result of the Neolithic Revolution was,the establishment of villages and the rise of governments,What was one result of the Neolithic Revolution?,,,RULE BASED,0,1,0
217,at the optimum,the slope of the indifference curve is equal to the slope of the budget constraint,at the optimum,the slope of the indifference curve is equal to the slope of the budget constraint,Where the indifference curve is tangent to the budget constraint?,Why must the slope of the budget line be equal to the slope of the indifference curve?,What is the slope of the indifference curve equal to?,,1,1,1
218,The Chinese believed a ruler kept the Mandate of Heaven by?,governing wisely,The Chinese believed a ruler kept the Mandate of Heaven by?,governing wisely,The Chinese believed a ruler kept the Mandate of Heaven by?,,,,1,,
219,"if the price of televisions falls, the value of the marginal product of workers making televisions will",definitely fall,"if the price of televisions falls, the value of the marginal product of workers making televisions will",definitely fall,What will happen to the marginal product of workers making televisions?,,,,1,,
220,"Unlike the Delhi sultans, Akbar believed in?",religiouis freedom,"Unlike the Delhi sultans, Akbar believed in?",religiouis freedom,"Unlike the Delhi sultans, Akbar believed in?",,,,1,,
221,economists are skeptical that discrimination is employer driven because,All of the above are reasons,economists are skeptical that discrimination is employer driven because,All of the above are reasons,Why economists are skeptical that discrimination is employer driven?,,,RULE BASED,1,0,0
222,extensive study of dreams indicates that,most dreams are extensions of everyday experience,extensive study of dreams indicates that,most dreams are extensions of everyday experience,What does extensive study of dreams indicate about dreams?,,,,1,,
223,the Virginia and New Jersey Plans introduced at the Constitutional Convention differedmainly over whether,states should send equal numbers of representatives to Congress,the Virginia and New Jersey Plans introduced at the Constitutional Convention differedmainly over whether,states should send equal numbers of representatives to Congress,What was the purpose of both the New Jersey and Virginia plans at the Constitutional Convention?,What did the Virginia plan proposed at the Constitutional Convention?,What did the Virginia and New Jersey plans agree on?,,1,1,0
224,"In a free market system, what is the mechanism for rationing scarce resources?",prices,"In a free market system, what is the mechanism for rationing scarce resources?",prices,"In a free market system, what is the mechanism for rationing scarce resources?",,,,1,,
225,excessive daytime sleepiness is a condition called,hypersomnia,excessive daytime sleepiness is a condition called,hypersomnia,,,,RULE BASED,0,0,0
226,"according to the   three-headed political giant   model of political parties, the largestcomponent of an American party is the",party-in-the-electorate,"according to the   three-headed political giant   model of political parties, the largestcomponent of an American party is the",party-in-the-electorate,"according to the three-headed political giant model of political partiesWhat is , the largestcomponent of an American party ?",,,RULE BASED,1,0,0
227,Confucius believed that a good society was one that?,preserved peace and order,Confucius believed that a good society was one that?,preserved peace and order,Confucius believed that a good society was one that?,,,,1,,
228,the major problem with using hypnosis in police work is,the occurrence of false memories,the major problem with using hypnosis in police work is,the occurrence of false memories,What is the major problem with using hypnosis in police work?,,,RULE BASED,1,1,0
229,The Unites States originally pursued a   decapitation   strategy for confronting al -Qaida. Whatdid this strategy propose to do?,eliminate a small number of al-Qaida leaders,The Unites States originally pursued a   decapitation   strategy for confronting al -Qaida. Whatdid this strategy propose to do?,eliminate a small number of al-Qaida leaders,The Unites States originally pursued a   decapitation   strategy for confronting al -Qaida. Whatdid this strategy propose to do?,,,,1,,
230,"the life-cycle theory would suggest that because people can borrow and save to smooth out changes in income, their standard of living depends more on",lifetime income rather than annual income,"the life-cycle theory would suggest that because people can borrow and save to smooth out changes in income, their standard of living depends more on",lifetime income rather than annual income,"the life-cycle theory would suggest that because people borrow and save to smooth out changes in income , when can their standard of living depends more?",,,RULE BASED,1,0,0
231,"in our federal system, the powers of the state governments are ultimately granted by",the United States Constitution,"in our federal system, the powers of the state governments are ultimately granted by",the United States Constitution,"Howin our federal system , the powers of the state governments are ultimately?",,,RULE BASED,1,0,0
232,an exit poll is taken,"on election day, by interviewing voters as they leave the polling place",an exit poll is taken,"on election day, by interviewing voters as they leave the polling place",When is an exit poll taken?,What is an exit poll quizlet?,What are exit polls quizlet?,,1,1,1
233,"When a country becomes an exporter of a good,",the gains of the winners exceed the losses of the losers,"When a country becomes an exporter of a good,",the gains of the winners exceed the losses of the losers,"When a country becomes an exporter of a good,",,,,1,,
234,Which factor has contributed most to the social and cultural identity of the Middle East?,strong influence of Islam on the region,Which factor has contributed most to the social and cultural identity of the Middle East?,strong influence of Islam on the region,Which factor has contributed most to the social and cultural identity of the Middle East?,,,,1,,
235,self-actualization refers to,anyone who is making full use of his or her potentials,self-actualization refers to,anyone who is making full use of his or her potentials,,,,RULE BASED,0,0,0
236,"during the 1980 s, Mikhail Gorbachev introduced Perestroika in the Soviet Union to",improve the economy and decentralize decision making,"during the 1980 s, Mikhail Gorbachev introduced Perestroika in the Soviet Union to",improve the economy and decentralize decision making,,,,RULE BASED,0,0,0
237,critical elections   always result in the,formation of new coalitions for each political party,critical elections   always result in the,formation of new coalitions for each political party,Where does critical elections always result?,,,RULE BASED,1,0,0
238,In what type of buying situation would a seller most likely send only a catalog to the buyer during the proposal solicitation stage of the business buying process?,straight rebuy,In what type of buying situation would a seller most likely send only a catalog to the buyer during the proposal solicitation stage of the business buying process?,straight rebuy,In what type of buying situation would a seller most likely send only a catalog to the buyer during the proposal solicitation stage of the business buying process?,,,,1,,
239,"a beekeeper places his hives of bees in an orchard so that the bees can gather nectar to produce honey. As a result, the bees pollinate the orchard which increases the yield of fruit and also causes",positive externalities that benefit both the beekeeper and the orchard owner,"a beekeeper places his hives of bees in an orchard so that the bees can gather nectar to produce honey. As a result, the bees pollinate the orchard which increases the yield of fruit and also causes",positive externalities that benefit both the beekeeper and the orchard owner,What are the benefits of placing hives of bees in an orchard?,Why do fruit growers put bee hives in their orchards?,Why do bees gather honey?,,1,1,0
240,the independent variable in an experiment is,the variable that the experimenter chooses to manipulate,the independent variable in an experiment is,the variable that the experimenter chooses to manipulate,What is the independent variable in an experiment?,,,RULE BASED,1,1,0
241,the number of families living in poverty in the U.S. tends to be overstated by about,10 percent,the number of families living in poverty in the U.S. tends to be overstated by about,10 percent,What percentage of families in the U.S. are in poverty?,What percentage of the US population is living in poverty?,How many families in the US are in poverty?,,1,1,1
242,councils of Governments have been formed to,improve cooperation between local governments,councils of Governments have been formed to,improve cooperation between local governments,,,,RULE BASED,0,0,0
243,as we move from lower to higher animals a larger proportion of the brain is devoted to,the cerebrum,as we move from lower to higher animals a larger proportion of the brain is devoted to,the cerebrum,,,,RULE BASED,0,0,0
244,"It has impoverished the dumb millions by a system of progressive exploitation....It has reduced us politically to serfdom. It has sapped the foundation of our culture...and degraded us spiritually. --- Mohandas K. Gandhi, 1930. In the statement, the it referred to by Gandhi is?",British imperialism in India,"It has impoverished the dumb millions by a system of progressive exploitation....It has reduced us politically to serfdom. It has sapped the foundation of our culture...and degraded us spiritually. --- Mohandas K. Gandhi, 1930. In the statement, the it referred to by Gandhi is?",British imperialism in India,"It has impoverished the dumb millions by a system of progressive exploitation....It has reduced us politically to serfdom. It has sapped the foundation of our culture...and degraded us spiritually. --- Mohandas K. Gandhi, 1930. In the statement, the it referred to by Gandhi is?",,,,1,,
245,"Unlike China during the Age of European Imperialism, Japan?",modernized rapidly,"Unlike China during the Age of European Imperialism, Japan?",modernized rapidly,"Unlike China during the Age of European Imperialism, Japan?",,,,1,,
246,the fact that many people don't know which way Lincoln is facing on the penny is probably due to,encoding failure,the fact that many people don't know which way Lincoln is facing on the penny is probably due to,encoding failure,Why is the fact that many people do n't know which way Lincoln facing on the penny is probably?,,,RULE BASED,0,1,0
247,"During the Renaissance, which development contributed most to the Protestant Reformation?",questioning of traditional authority,"During the Renaissance, which development contributed most to the Protestant Reformation?",questioning of traditional authority,"During the Renaissance, which development contributed most to the Protestant Reformation?",,,,1,,
248,"in terms of critical thinking and testing, results should",be meta-analytical,"in terms of critical thinking and testing, results should",be meta-analytical,"In terms of critical thinking and testing, results should be meta-analytical?",Does college teach critical thinking a meta analysis?,What is analysis in critical thinking?,,0,0,0
249,"You are walking into a store when a man rudely cuts in front of you, almost shoving you, so that he may enter the store first. ""What a jerk!"" you think to yourself. As you enter the store, you see the same man performing an emergency tracheotomy on a women with a collapsed windpipe. You have just",made the fundamental attribution error,"You are walking into a store when a man rudely cuts in front of you, almost shoving you, so that he may enter the store first. ""What a jerk!"" you think to yourself. As you enter the store, you see the same man performing an emergency tracheotomy on a women with a collapsed windpipe. You have just",made the fundamental attribution error,"You are walking into a store when a man rudely cuts in front of you, almost shoving you, so that he may enter the store first. ""What a jerk!"" you think to yourself. As you enter the store, you see the same man performing an emergency tracheotomy on a women with a collapsed windpipe. You have just",,,,1,,
250,Which statement BEST describes the effects of the geography of Africa?,it has hindered economic development on the continent,Which statement BEST describes the effects of the geography of Africa?,it has hindered economic development on the continent,Which statement BEST describes the effects of the geography of Africa?,,,,1,,
